name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,165.87244367599487,0.0029962658882141113,0,2161,2603,0.025
TKNC,166.43866729736328,0.0034476518630981445,0,2208,2603,0.025
NBC,166.5657081604004,0.0006818175315856934,0,2176,2603,0.025
SNAC,166.38691091537476,0.005205094814300537,0,2177,2603,0.025
NAC,169.31078433990479,0.011773943901062012,0,4361,5206,0.05
TKNC,171.16484141349792,0.010467886924743652,0,4420,5206,0.05
NBC,170.97796082496643,0.011274576187133789,0,4342,5206,0.05
SNAC,169.75587582588196,0.009132981300354004,0,4352,5206,0.05
NAC,169.52494764328003,0.01624917984008789,0,6531,7809,0.075
TKNC,171.79886627197266,0.015596151351928711,0,6610,7809,0.075
NBC,173.3913130760193,0.01601874828338623,0,6544,7809,0.075
SNAC,173.73474597930908,0.017920255661010742,0,6516,7809,0.075
NAC,177.29123497009277,0.023279011249542236,0,8701,10412,0.1
TKNC,177.79181718826294,0.024498701095581055,0,8753,10412,0.1
NBC,173.8887825012207,0.020369112491607666,0,8710,10412,0.1
SNAC,175.38020706176758,0.0194472074508667,0,8671,10412,0.1
