name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,168.36690759658813,0.002468109130859375,0,2603,2603,0.025
TKNC,169.77400970458984,0.005742907524108887,0,2603,2603,0.025
NBC,169.50250363349915,0.005070686340332031,0,2603,2603,0.025
SNAC,168.1733114719391,0.0028522610664367676,0,2603,2603,0.025
NAC,169.0343496799469,0.011072874069213867,0,5206,5206,0.05
TKNC,171.25812983512878,0.015836238861083984,0,5206,5206,0.05
NBC,169.23033213615417,0.015279233455657959,0,5206,5206,0.05
SNAC,173.39649963378906,0.011216938495635986,0,5206,5206,0.05
NAC,173.08214282989502,0.02168482542037964,0,7809,7809,0.075
TKNC,170.2092137336731,0.01930314302444458,0,7809,7809,0.075
NBC,168.2628812789917,0.021982550621032715,0,7809,7809,0.075
SNAC,160.85485315322876,0.017334401607513428,0,7809,7809,0.075
NAC,165.50140690803528,0.026986002922058105,0,10412,10412,0.1
TKNC,160.70494174957275,0.024556279182434082,0,10412,10412,0.1
NBC,157.99540901184082,0.026448190212249756,0,10412,10412,0.1
SNAC,159.41291856765747,0.024786770343780518,0,10412,10412,0.1
