name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,416.93104362487793,0.013224124908447266,0,2200,2603,0.025
TKNC,414.4810299873352,0.016498923301696777,0,2312,2603,0.025
NBC,398.8568570613861,0.014674246311187744,0,2293,2603,0.025
SNAC,411.02670907974243,0.01570183038711548,0,2260,2603,0.025
NAC,414.2157018184662,0.01821798086166382,0,4385,5206,0.05
TKNC,414.4017086029053,0.02209782600402832,0,4528,5206,0.05
NBC,419.1642105579376,0.023461520671844482,0,4436,5206,0.05
SNAC,411.884348154068,0.02322143316268921,0,4448,5206,0.05
NAC,426.8150374889374,0.026880383491516113,0,6550,7809,0.075
TKNC,427.4791057109833,0.027639031410217285,0,6708,7809,0.075
NBC,429.68579745292664,0.027523815631866455,0,6638,7809,0.075
SNAC,419.0912616252899,0.02512294054031372,0,6626,7809,0.075
NAC,431.9115526676178,0.030760228633880615,0,8721,10412,0.1
TKNC,428.50499844551086,0.031153976917266846,0,8866,10412,0.1
NBC,422.3526408672333,0.03178781270980835,0,8819,10412,0.1
SNAC,427.5816242694855,0.02901238203048706,0,8760,10412,0.1
