name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,410.0369246006012,0.014539778232574463,0,2134,2603,0.025
TKNC,404.32335114479065,0.01325291395187378,0,2057,2603,0.025
NBC,414.3807466030121,0.01609557867050171,0,1930,2603,0.025
SNAC,405.8661377429962,0.014923930168151855,0,1924,2603,0.025
NAC,415.82385897636414,0.019360780715942383,0,4320,5206,0.05
TKNC,413.53765177726746,0.020474791526794434,0,4276,5206,0.05
NBC,421.1988275051117,0.021867334842681885,0,4082,5206,0.05
SNAC,414.82990884780884,0.020340323448181152,0,4113,5206,0.05
NAC,428.94344663619995,0.027485370635986328,0,6485,7809,0.075
TKNC,413.2635889053345,0.026621103286743164,0,6471,7809,0.075
NBC,410.1061234474182,0.022184252738952637,0,6284,7809,0.075
SNAC,410.8315541744232,0.021915316581726074,0,6293,7809,0.075
NAC,421.90082693099976,0.027533411979675293,0,8659,10412,0.1
TKNC,422.7522118091583,0.030865848064422607,0,8634,10412,0.1
NBC,421.48440861701965,0.029867053031921387,0,8470,10412,0.1
SNAC,431.1969184875488,0.028061628341674805,0,8442,10412,0.1
