name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,417.9085371494293,0.014664649963378906,0,2174,2603,0.025
TKNC,403.9662194252014,0.01890939474105835,0,2298,2603,0.025
NBC,417.45194149017334,0.016354858875274658,0,2157,2603,0.025
SNAC,409.2225658893585,0.01364666223526001,0,2164,2603,0.025
NAC,420.34575939178467,0.022990942001342773,0,4361,5206,0.05
TKNC,426.1028845310211,0.02387446165084839,0,4515,5206,0.05
NBC,423.3807635307312,0.02156001329421997,0,4307,5206,0.05
SNAC,429.2219502925873,0.02188652753829956,0,4353,5206,0.05
NAC,434.62912583351135,0.027053236961364746,0,6527,7809,0.075
TKNC,435.18067359924316,0.02973264455795288,0,6692,7809,0.075
NBC,433.36226201057434,0.024902045726776123,0,6513,7809,0.075
SNAC,431.1408052444458,0.024882853031158447,0,6533,7809,0.075
NAC,443.9542214870453,0.030376076698303223,0,8700,10412,0.1
TKNC,439.94401383399963,0.03331476449966431,0,8854,10412,0.1
NBC,437.38306975364685,0.0318261981010437,0,8686,10412,0.1
SNAC,436.4399993419647,0.028925955295562744,0,8668,10412,0.1
