name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,714.8749108314514,0.018024981021881104,0.0,816,1000,0.025
DeepDAC,701.681627035141,0.030624985694885254,0.35,988,1000,0.025
DeepDAC_2,550.1372406482697,0.010149955749511719,0.438,982,1000,0.025
CES,570.6486825942993,0.020524978637695312,0.025,831,1000,0.025
Gini,580.0098230838776,0.0252000093460083,0.508,702,1000,0.025
Random,575.8101241588593,0.01519995927810669,0.021,821,1000,0.025
MAX_P,567.8519866466522,-0.005124986171722412,0.492,668,1000,0.025
LSA,546.3680472373962,0.01109999418258667,0.035,234,1000,0.025
DeepDiv,581.4229073524475,0.020574986934661865,0.0,1636,2000,0.05
DeepDAC,599.7434651851654,0.007749974727630615,0.4455,1965,2000,0.05
DeepDAC_2,594.8431267738342,0.05072498321533203,0.4445,1952,2000,0.05
CES,577.1476135253906,0.009774982929229736,0.043,1657,2000,0.05
Gini,519.4322688579559,0.0015999674797058105,0.4645,1343,2000,0.05
Random,466.3872606754303,0.007600009441375732,0.048,1661,2000,0.05
MAX_P,478.71239042282104,0.026024997234344482,0.4885,1329,2000,0.05
LSA,480.26800084114075,0.013849973678588867,0.0535,466,2000,0.05
DeepDiv,498.91392183303833,0.03027498722076416,0.0,2450,3000,0.075
DeepDAC,504.89018154144287,0.03714996576309204,0.49,2946,3000,0.075
DeepDAC_2,476.21213006973267,0.025799989700317383,0.4583333333333333,2918,3000,0.075
CES,503.46782875061035,0.0305749773979187,0.068,2472,3000,0.075
Gini,496.37673926353455,0.0065999627113342285,0.4726666666666667,1993,3000,0.075
Random,496.28280091285706,0.018700003623962402,0.071,2486,3000,0.075
MAX_P,643.2450435161591,0.02044999599456787,0.498,2000,3000,0.075
LSA,645.2586414813995,-0.011475026607513428,0.07633333333333334,696,3000,0.075
DeepDiv,527.9702084064484,0.03560000658035278,0.0,3267,4000,0.1
DeepDAC,522.4408617019653,0.041999995708465576,0.506,3920,4000,0.1
DeepDAC_2,522.8470125198364,0.04039996862411499,0.47375,3874,4000,0.1
CES,514.2404019832611,0.024325013160705566,0.081,3299,4000,0.1
Gini,493.03768253326416,0.005625009536743164,0.48825,2681,4000,0.1
Random,503.50805044174194,0.0076999664306640625,0.08825,3334,4000,0.1
MAX_P,495.30873012542725,0.027449965476989746,0.5215,2690,4000,0.1
LSA,484.0675549507141,0.014800012111663818,0.10225,960,4000,0.1
