name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,870.6741950511932,0.022399961948394775,0.0,910,1000,0.025
DeepDAC,745.1682178974152,-0.007650017738342285,0.369,855,1000,0.025
DeepDAC_2,748.5806159973145,0.010149955749511719,0.462,872,1000,0.025
CES,746.392110824585,0.016250014305114746,0.021,866,1000,0.025
Gini,753.8756408691406,0.011799991130828857,0.511,769,1000,0.025
Random,762.9618310928345,0.01699995994567871,0.022,839,1000,0.025
MAX_P,756.766993522644,0.025025010108947754,0.494,768,1000,0.025
LSA,743.9263405799866,0.0270499587059021,0.044,555,1000,0.025
DeepDiv,764.6529550552368,0.023424983024597168,0.0,1819,2000,0.05
DeepDAC,751.6941070556641,0.029949963092803955,0.481,1724,2000,0.05
DeepDAC_2,776.6173102855682,0.012574970722198486,0.4695,1655,2000,0.05
CES,763.8602306842804,0.02599996328353882,0.0405,1724,2000,0.05
Gini,774.1448044776917,0.028499960899353027,0.48,1546,2000,0.05
Random,759.7299885749817,0.009274959564208984,0.0385,1647,2000,0.05
MAX_P,738.3154947757721,0.016649961471557617,0.4895,1518,2000,0.05
LSA,739.1484570503235,0.030849993228912354,0.0735,1066,2000,0.05
DeepDiv,769.2885086536407,0.03217500448226929,0.0,2724,3000,0.075
DeepDAC,761.9212665557861,0.016124963760375977,0.5226666666666666,2549,3000,0.075
DeepDAC_2,756.0543808937073,0.025624990463256836,0.4816666666666667,2448,3000,0.075
CES,788.536988735199,0.03194999694824219,0.056666666666666664,2592,3000,0.075
Gini,768.7902419567108,0.022324979305267334,0.48333333333333334,2281,3000,0.075
Random,753.7384071350098,0.01917499303817749,0.06366666666666666,2495,3000,0.075
MAX_P,786.9837448596954,0.02317500114440918,0.5043333333333333,2275,3000,0.075
LSA,753.0283851623535,0.028724968433380127,0.09833333333333333,1629,3000,0.075
DeepDiv,795.9040875434875,0.018700003623962402,0.0,3633,4000,0.1
DeepDAC,766.9746406078339,0.04319995641708374,0.5495,3376,4000,0.1
DeepDAC_2,781.3521077632904,0.026024997234344482,0.505,3252,4000,0.1
CES,789.5056850910187,0.04769998788833618,0.0765,3448,4000,0.1
Gini,783.7727792263031,0.03029996156692505,0.49825,3034,4000,0.1
Random,780.9578428268433,0.01344996690750122,0.0845,3318,4000,0.1
MAX_P,781.7661287784576,0.04469996690750122,0.5215,2981,4000,0.1
LSA,761.4030468463898,0.02672499418258667,0.124,2185,4000,0.1
