name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,744.4832458496094,0.024349987506866455,0.0,1000,1000,0.025
DeepDAC,754.5779025554657,0.012874960899353027,0.41,1000,1000,0.025
DeepDAC_2,759.8051698207855,0.0212249755859375,0.503,1000,1000,0.025
CES,764.2188670635223,0.021099984645843506,0.02,1000,1000,0.025
Gini,736.2865874767303,0.02347499132156372,0.583,1000,1000,0.025
Random,750.8265323638916,0.011399984359741211,0.024,1000,1000,0.025
MAX_P,755.8503577709198,0.020749986171722412,0.564,1000,1000,0.025
LSA,774.155072927475,-0.009700000286102295,0.051,1000,1000,0.025
DeepDiv,780.4985077381134,0.02297496795654297,0.0,2000,2000,0.05
DeepDAC,770.0664467811584,0.016299962997436523,0.537,2000,2000,0.05
DeepDAC_2,757.1958954334259,0.0307999849319458,0.527,2000,2000,0.05
CES,754.3923032283783,0.011474967002868652,0.047,2000,2000,0.05
Gini,760.9424576759338,0.02649998664855957,0.559,2000,2000,0.05
Random,765.2231838703156,0.008749961853027344,0.049,2000,2000,0.05
MAX_P,789.9850075244904,0.01947498321533203,0.574,2000,2000,0.05
LSA,775.7317214012146,0.0073999762535095215,0.0855,2000,2000,0.05
DeepDiv,787.7748157978058,0.025124967098236084,0.0,3000,3000,0.075
DeepDAC,793.1468515396118,0.02702498435974121,0.5646666666666667,3000,3000,0.075
DeepDAC_2,776.4621114730835,0.02222496271133423,0.5443333333333333,3000,3000,0.075
CES,780.364417552948,0.028050005435943604,0.06733333333333333,3000,3000,0.075
Gini,775.232255935669,0.017799973487854004,0.56,3000,3000,0.075
Random,765.8224053382874,0.0338749885559082,0.072,3000,3000,0.075
MAX_P,782.3029699325562,0.02069997787475586,0.5953333333333334,3000,3000,0.075
LSA,762.123076915741,0.024199962615966797,0.12666666666666668,3000,3000,0.075
DeepDiv,795.969881772995,0.03584998846054077,0.0,4000,4000,0.1
DeepDAC,794.468578338623,0.04589998722076416,0.5905,4000,4000,0.1
DeepDAC_2,810.1198444366455,0.03584998846054077,0.55775,4000,4000,0.1
CES,820.1473166942596,0.01690000295639038,0.09025,4000,4000,0.1
Gini,787.360543012619,0.03429996967315674,0.589,4000,4000,0.1
Random,793.9184305667877,0.02422499656677246,0.09625,4000,4000,0.1
MAX_P,794.1123788356781,0.024949967861175537,0.60125,4000,4000,0.1
LSA,772.9359877109528,0.03214997053146362,0.16275,4000,4000,0.1
