name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,746.2990915775299,0.0031999945640563965,0.0,833,1000,0.025
DeepDAC,742.8729159832001,0.006424963474273682,0.354,877,1000,0.025
DeepDAC_2,736.7813782691956,0.006949961185455322,0.442,823,1000,0.025
CES,758.9782655239105,0.01434999704360962,0.027,861,1000,0.025
Gini,761.7564597129822,0.02469998598098755,0.491,704,1000,0.025
Random,775.7469100952148,0.010949969291687012,0.022,839,1000,0.025
MAX_P,750.6777150630951,0.016224980354309082,0.493,730,1000,0.025
LSA,0.0,0.0,0.021,0,1000,0.025
DeepDiv,759.2258956432343,0.010949969291687012,0.0,1634,2000,0.05
DeepDAC,763.7417883872986,0.04537498950958252,0.462,1736,2000,0.05
DeepDAC_2,772.397497177124,0.017399966716766357,0.4405,1598,2000,0.05
CES,791.8463542461395,0.011999964714050293,0.0505,1742,2000,0.05
Gini,766.5530536174774,0.03600001335144043,0.474,1411,2000,0.05
Random,746.5437936782837,0.042849957942962646,0.046,1647,2000,0.05
MAX_P,768.5583112239838,0.03154999017715454,0.5085,1458,2000,0.05
LSA,0.0,0.0,0.054,0,2000,0.05
DeepDiv,793.9916198253632,0.02665001153945923,0.0,2442,3000,0.075
DeepDAC,795.3715600967407,0.017399966716766357,0.506,2575,3000,0.075
DeepDAC_2,779.5944039821625,0.03462499380111694,0.4653333333333333,2385,3000,0.075
CES,765.7184925079346,0.02067500352859497,0.066,2628,3000,0.075
Gini,778.5609905719757,0.01940000057220459,0.487,2163,3000,0.075
Random,762.5571382045746,0.03624999523162842,0.068,2495,3000,0.075
MAX_P,757.5478799343109,0.029624998569488525,0.5226666666666666,2216,3000,0.075
LSA,0.0,0.0,0.06766666666666667,0,3000,0.075
DeepDiv,770.5986063480377,0.04364997148513794,0.0,3248,4000,0.1
DeepDAC,799.5571732521057,0.04249995946884155,0.531,3414,4000,0.1
DeepDAC_2,784.069432258606,0.02219998836517334,0.488,3236,4000,0.1
CES,816.5333399772644,0.023374974727630615,0.0825,3507,4000,0.1
Gini,778.7590026855469,0.02147495746612549,0.511,2924,4000,0.1
Random,792.5868420600891,0.030974984169006348,0.0855,3318,4000,0.1
MAX_P,773.6883606910706,0.0403749942779541,0.5455,2969,4000,0.1
LSA,0.0,0.0,0.081,0,4000,0.1
