name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,756.7364611625671,0.0038499832153320312,0.0,1000,1000,0.025
DeepDAC,733.7519319057465,0.01662498712539673,0.373,1000,1000,0.025
DeepDAC_2,762.3290603160858,0.018274962902069092,0.457,1000,1000,0.025
CES,732.6223089694977,-0.015150010585784912,0.025,1000,1000,0.025
Gini,760.2996652126312,0.00862497091293335,0.509,1000,1000,0.025
Random,737.9393222332001,0.030174970626831055,0.016,1000,1000,0.025
MAX_P,750.0171241760254,0.027674973011016846,0.497,1000,1000,0.025
LSA,743.5818054676056,0.010100007057189941,0.046,1000,1000,0.025
DeepDiv,702.5064632892609,0.044524967670440674,0.0,2000,2000,0.05
DeepDAC,673.3771638870239,0.02319997549057007,0.477,2000,2000,0.05
DeepDAC_2,718.1272387504578,0.03224998712539673,0.479,2000,2000,0.05
CES,712.2862274646759,0.00937497615814209,0.0385,2000,2000,0.05
Gini,685.0746693611145,0.022674977779388428,0.4935,2000,2000,0.05
Random,707.1710531711578,0.020874977111816406,0.036,2000,2000,0.05
MAX_P,688.753110408783,0.004374980926513672,0.4975,2000,2000,0.05
LSA,715.3589055538177,0.022350013256072998,0.0695,2000,2000,0.05
DeepDiv,692.6573278903961,0.02777498960494995,0.0,3000,3000,0.075
DeepDAC,717.6166191101074,0.02672499418258667,0.5106666666666667,3000,3000,0.075
DeepDAC_2,699.264398097992,0.015150010585784912,0.48966666666666664,3000,3000,0.075
CES,728.1209807395935,0.008374989032745361,0.06166666666666667,3000,3000,0.075
Gini,696.7142720222473,0.03659999370574951,0.491,3000,3000,0.075
Random,735.773129940033,0.019225001335144043,0.06066666666666667,3000,3000,0.075
MAX_P,704.7637233734131,0.01817500591278076,0.5166666666666667,3000,3000,0.075
LSA,708.8800420761108,-2.5033950805664062e-05,0.107,3000,3000,0.075
DeepDiv,714.3615763187408,0.03184998035430908,0.0,4000,4000,0.1
DeepDAC,698.6651093959808,0.046774983406066895,0.52825,4000,4000,0.1
DeepDAC_2,707.4640803337097,0.047324955463409424,0.50525,4000,4000,0.1
CES,698.4952852725983,0.039200007915496826,0.07925,4000,4000,0.1
Gini,731.4954881668091,0.04589998722076416,0.51425,4000,4000,0.1
Random,697.698652267456,0.030075013637542725,0.0845,4000,4000,0.1
MAX_P,719.4527132511139,0.03607499599456787,0.532,4000,4000,0.1
LSA,717.1548581123352,0.0333249568939209,0.13675,4000,4000,0.1
