name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,589.4014089107513,0.022599995136260986,0.0,787,1000,0.025
DeepDAC,578.2793378829956,0.0254250168800354,0.534,974,1000,0.025
DeepDAC_2,572.3635013103485,0.025924980640411377,0.542,977,1000,0.025
CES,589.5803010463715,0.017849981784820557,0.035,789,1000,0.025
Gini,567.1569268703461,0.024349987506866455,0.748,750,1000,0.025
Random,559.727041721344,0.017849981784820557,0.015,832,1000,0.025
MAX_P,582.5972638130188,0.021724998950958252,0.636,736,1000,0.025
LSA,577.2133333683014,0.018899977207183838,0.078,658,1000,0.025
DeepDiv,572.6542363166809,0.03100001811981201,0.0,1571,2000,0.05
DeepDAC,586.5674078464508,0.03289997577667236,0.572,1951,2000,0.05
DeepDAC_2,581.8900458812714,0.032325029373168945,0.6025,1944,2000,0.05
CES,590.913331747055,0.02415001392364502,0.07,1579,2000,0.05
Gini,577.3497335910797,0.028925001621246338,0.771,1466,2000,0.05
Random,593.2464056015015,0.0212249755859375,0.042,1687,2000,0.05
MAX_P,587.9598550796509,0.03042501211166382,0.6165,1449,2000,0.05
LSA,556.4829304218292,0.02067500352859497,0.1035,1031,2000,0.05
DeepDiv,593.5114831924438,-0.007349967956542969,0.0,2354,3000,0.075
DeepDAC,601.2592616081238,0.03962498903274536,0.589,2924,3000,0.075
DeepDAC_2,580.066565990448,0.03972500562667847,0.624,2915,3000,0.075
CES,595.0510349273682,0.02899998426437378,0.101,2376,3000,0.075
Gini,598.9670236110687,0.03289997577667236,0.663,2178,3000,0.075
Random,576.9302515983582,0.024500012397766113,0.06466666666666666,2515,3000,0.075
MAX_P,587.7489502429962,0.03519999980926514,0.6046666666666667,2167,3000,0.075
LSA,586.2336161136627,0.02347499132156372,0.142,1344,3000,0.075
DeepDiv,593.0870637893677,0.0399249792098999,0.0,3117,4000,0.1
DeepDAC,590.2382657527924,0.04640001058578491,0.5965,3905,4000,0.1
DeepDAC_2,609.7328724861145,0.04462498426437378,0.62825,3883,4000,0.1
CES,589.5916640758514,0.031875014305114746,0.13125,3169,4000,0.1
Gini,576.9405238628387,0.03939998149871826,0.62475,2859,4000,0.1
Random,599.9398152828217,0.0277249813079834,0.08375,3344,4000,0.1
MAX_P,594.3914504051208,0.04202502965927124,0.59525,2854,4000,0.1
LSA,586.207822561264,0.023750007152557373,0.17275,1674,4000,0.1
