name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,495.4637596607208,0.022825002670288086,0.0,642,1000,0.025
DeepDAC,466.35888266563416,0.021600008010864258,0.555,655,1000,0.025
DeepDAC_2,460.11918926239014,0.022074997425079346,0.612,545,1000,0.025
CES,471.67807245254517,0.01832503080368042,0.047,801,1000,0.025
Gini,445.8297448158264,0.021324992179870605,0.698,571,1000,0.025
Random,461.48305463790894,0.01712501049041748,0.02,816,1000,0.025
MAX_P,441.4575915336609,0.021775007247924805,0.659,593,1000,0.025
LSA,462.13461446762085,0.016775012016296387,0.116,531,1000,0.025
DeepDiv,470.97434067726135,0.029825031757354736,0.0,1351,2000,0.05
DeepDAC,445.54651403427124,0.03017503023147583,0.614,1363,2000,0.05
DeepDAC_2,470.66873049736023,0.028050005435943604,0.6475,1145,2000,0.05
CES,476.7012257575989,0.021324992179870605,0.071,1604,2000,0.05
Gini,468.44879245758057,0.027424991130828857,0.733,1157,2000,0.05
Random,451.61400389671326,0.02310001850128174,0.0405,1646,2000,0.05
MAX_P,455.60422921180725,0.02824997901916504,0.6285,1291,2000,0.05
LSA,456.5981025695801,0.019824981689453125,0.153,923,2000,0.05
DeepDiv,467.33052492141724,0.034675002098083496,0.0,2060,3000,0.075
DeepDAC,474.95044803619385,0.035899996757507324,0.6343333333333333,2037,3000,0.075
DeepDAC_2,468.1138677597046,0.03227502107620239,0.696,1779,3000,0.075
CES,468.79961347579956,0.02567499876022339,0.103,2407,3000,0.075
Gini,467.2654228210449,0.033850014209747314,0.681,1902,3000,0.075
Random,465.2089943885803,0.025375008583068848,0.06533333333333333,2489,3000,0.075
MAX_P,465.4639410972595,0.03572499752044678,0.625,1981,3000,0.075
LSA,467.72374749183655,0.02114999294281006,0.19533333333333333,1293,3000,0.075
DeepDiv,468.99635124206543,0.03960001468658447,0.0,2745,4000,0.1
DeepDAC,462.69734239578247,0.03712499141693115,0.65825,2726,4000,0.1
DeepDAC_2,456.13137698173523,0.03877502679824829,0.72925,2456,4000,0.1
CES,415.6747136116028,0.030674993991851807,0.1315,3203,4000,0.1
Gini,363.11277294158936,0.03787499666213989,0.65275,2602,4000,0.1
Random,340.61607909202576,0.030099987983703613,0.082,3328,4000,0.1
MAX_P,317.3517632484436,0.037150025367736816,0.6235,2639,4000,0.1
LSA,366.5406095981598,0.024574995040893555,0.22175,1694,4000,0.1
