name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,321.22505736351013,0.026350021362304688,0.0,1000,1000,0.025
DeepDAC,333.2493395805359,0.026374995708465576,0.614,1000,1000,0.025
DeepDAC_2,333.94561791419983,0.02590000629425049,0.651,1000,1000,0.025
CES,336.38202142715454,0.02174997329711914,0.042,1000,1000,0.025
Gini,317.998818397522,0.028174996376037598,0.803,1000,1000,0.025
Random,350.8275475502014,0.01862502098083496,0.027,1000,1000,0.025
MAX_P,306.94771933555603,0.0256500244140625,0.64,1000,1000,0.025
LSA,344.73792600631714,0.016974985599517822,0.098,1000,1000,0.025
DeepDiv,311.6494879722595,0.03194999694824219,0.0,2000,2000,0.05
DeepDAC,327.5912380218506,0.035374999046325684,0.66,2000,2000,0.05
DeepDAC_2,338.9188368320465,0.035674989223480225,0.7395,2000,2000,0.05
CES,319.5163998603821,0.026149988174438477,0.08,2000,2000,0.05
Gini,338.5287330150604,0.03452497720718384,0.7055,2000,2000,0.05
Random,352.43852066993713,0.023299992084503174,0.0505,2000,2000,0.05
MAX_P,307.8835597038269,0.03517502546310425,0.636,2000,2000,0.05
LSA,329.87025356292725,0.02672499418258667,0.15,2000,2000,0.05
DeepDiv,335.79599928855896,0.040650010108947754,0.0,3000,3000,0.075
DeepDAC,340.1877112388611,0.04137498140335083,0.6633333333333333,3000,3000,0.075
DeepDAC_2,358.02015805244446,0.03909999132156372,0.7586666666666667,3000,3000,0.075
CES,386.8214590549469,0.030525028705596924,0.12,3000,3000,0.075
Gini,318.4179775714874,0.040875017642974854,0.6543333333333333,3000,3000,0.075
Random,329.35691475868225,0.02595001459121704,0.07233333333333333,3000,3000,0.075
MAX_P,341.1968960762024,0.04032498598098755,0.628,3000,3000,0.075
LSA,320.8748617172241,0.02972501516342163,0.196,3000,3000,0.075
DeepDiv,317.5676164627075,0.045450031757354736,0.0,4000,4000,0.1
DeepDAC,415.4633684158325,0.04302501678466797,0.67475,4000,4000,0.1
DeepDAC_2,335.6756775379181,0.04444998502731323,0.76525,4000,4000,0.1
CES,348.53197598457336,0.036125004291534424,0.151,4000,4000,0.1
Gini,348.58258605003357,0.04519999027252197,0.64775,4000,4000,0.1
Random,349.6649911403656,0.031899988651275635,0.09925,4000,4000,0.1
MAX_P,336.505245923996,0.047500014305114746,0.63725,4000,4000,0.1
LSA,340.58157777786255,0.03177499771118164,0.23275,4000,4000,0.1
