name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,330.8953471183777,0.022350013256072998,0.0,683,1000,0.025
DeepDAC,340.96471214294434,0.02597498893737793,0.451,819,1000,0.025
DeepDAC_2,294.5962505340576,0.02377498149871826,0.454,669,1000,0.025
CES,322.67485523223877,0.017825007438659668,0.035,806,1000,0.025
Gini,337.25450372695923,0.018925011157989502,0.527,362,1000,0.025
Random,323.3496606349945,0.015150010585784912,0.02,830,1000,0.025
MAX_P,328.99098086357117,0.017199993133544922,0.576,399,1000,0.025
LSA,399.44414496421814,0.006375014781951904,0.04,1,1000,0.025
DeepDiv,355.10719633102417,0.03100001811981201,0.0,1400,2000,0.05
DeepDAC,320.5577874183655,0.03245002031326294,0.5055,1646,2000,0.05
DeepDAC_2,342.8180093765259,0.029049992561340332,0.496,1204,2000,0.05
CES,342.9079501628876,0.02165001630783081,0.074,1594,2000,0.05
Gini,324.4775836467743,0.025049984455108643,0.5675,762,2000,0.05
Random,315.58095049858093,0.021925032138824463,0.0465,1669,2000,0.05
MAX_P,394.23206210136414,0.02467501163482666,0.565,990,2000,0.05
LSA,305.14651250839233,0.009850025177001953,0.0915,5,2000,0.05
DeepDiv,305.1877701282501,0.03474998474121094,0.0,2110,3000,0.075
DeepDAC,340.4572365283966,0.03617501258850098,0.5193333333333333,2387,3000,0.075
DeepDAC_2,342.32018780708313,0.03450000286102295,0.552,1892,3000,0.075
CES,336.48448038101196,0.02777498960494995,0.10333333333333333,2398,3000,0.075
Gini,316.7281472682953,0.02799999713897705,0.6116666666666667,1220,3000,0.075
Random,397.0302541255951,0.026600003242492676,0.06666666666666667,2490,3000,0.075
MAX_P,352.4693944454193,0.03247499465942383,0.5683333333333334,1565,3000,0.075
LSA,311.7793126106262,0.013225018978118896,0.169,120,3000,0.075
DeepDiv,343.53394293785095,0.03874999284744263,0.0,2810,4000,0.1
DeepDAC,346.955237865448,0.038474977016448975,0.534,3095,4000,0.1
DeepDAC_2,324.30199694633484,0.03745001554489136,0.58175,2621,4000,0.1
CES,337.8746633529663,0.031650006771087646,0.132,3192,4000,0.1
Gini,410.91937828063965,0.03525000810623169,0.58775,1888,4000,0.1
Random,371.9262926578522,0.02820003032684326,0.0885,3304,4000,0.1
MAX_P,377.56485247612,0.0343250036239624,0.56525,2117,4000,0.1
LSA,414.99362325668335,0.01282501220703125,0.192,216,4000,0.1
