name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,469.28644728660583,0.028299987316131592,0.0,1000,1000,0.025
DeepDAC,478.232284784317,0.02640002965927124,0.555,1000,1000,0.025
DeepDAC_2,551.5856063365936,0.025325000286102295,0.582,1000,1000,0.025
CES,555.6209888458252,0.019574999809265137,0.044,1000,1000,0.025
Gini,575.4642803668976,0.024349987506866455,0.697,1000,1000,0.025
Random,579.9241333007812,0.019774973392486572,0.021,1000,1000,0.025
MAX_P,574.3389747142792,0.0252000093460083,0.568,1000,1000,0.025
LSA,590.6933507919312,0.021000027656555176,0.084,1000,1000,0.025
DeepDiv,591.4191999435425,0.03600001335144043,0.0,2000,2000,0.05
DeepDAC,585.0774986743927,0.03172498941421509,0.5955,2000,2000,0.05
DeepDAC_2,584.5039374828339,0.03382498025894165,0.6595,2000,2000,0.05
CES,596.6035416126251,0.02869999408721924,0.075,2000,2000,0.05
Gini,584.9278991222382,0.0307999849319458,0.654,2000,2000,0.05
Random,592.8395352363586,0.022450029850006104,0.043,2000,2000,0.05
MAX_P,578.5446660518646,0.03382498025894165,0.5615,2000,2000,0.05
LSA,583.8932304382324,0.025174975395202637,0.133,2000,2000,0.05
DeepDiv,601.7222385406494,0.042150020599365234,0.0,3000,3000,0.075
DeepDAC,585.0862605571747,0.037150025367736816,0.5936666666666667,3000,3000,0.075
DeepDAC_2,589.2691788673401,0.04025000333786011,0.6743333333333333,3000,3000,0.075
CES,617.9511976242065,0.03229999542236328,0.10733333333333334,3000,3000,0.075
Gini,590.2256190776825,0.03485000133514404,0.5873333333333334,3000,3000,0.075
Random,574.3501868247986,0.026575028896331787,0.059666666666666666,3000,3000,0.075
MAX_P,611.8426096439362,0.03759998083114624,0.5473333333333333,3000,3000,0.075
LSA,587.5825123786926,0.02702498435974121,0.17333333333333334,3000,3000,0.075
DeepDiv,591.8983278274536,0.044499993324279785,0.0,4000,4000,0.1
DeepDAC,617.9881093502045,0.043200016021728516,0.588,4000,4000,0.1
DeepDAC_2,613.7569143772125,0.04377502202987671,0.6925,4000,4000,0.1
CES,604.09526014328,0.037150025367736816,0.14025,4000,4000,0.1
Gini,601.1120219230652,0.042900025844573975,0.5585,4000,4000,0.1
Random,614.6209433078766,0.0310249924659729,0.077,4000,4000,0.1
MAX_P,600.8298652172089,0.04355001449584961,0.545,4000,4000,0.1
LSA,596.834575176239,0.030224978923797607,0.20225,4000,4000,0.1
