name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,84.62917804718018,0.017075002193450928,0.0,606,1000,0.025
DeepDAC,84.17020201683044,0.02487504482269287,0.344,697,1000,0.025
DeepDAC_2,84.15313529968262,0.017625033855438232,0.429,627,1000,0.025
CES,82.78136801719666,0.012625038623809814,0.023,760,1000,0.025
Gini,84.43984365463257,0.015749990940093994,0.463,637,1000,0.025
Random,85.43110632896423,0.012750029563903809,0.027,817,1000,0.025
MAX_P,83.84022450447083,0.017850041389465332,0.484,671,1000,0.025
LSA,83.35506439208984,0.011400043964385986,0.19,382,1000,0.025
DeepDiv,82.28556752204895,0.02745002508163452,0.0,1261,2000,0.05
DeepDAC,84.06151056289673,0.031599998474121094,0.462,1403,2000,0.05
DeepDAC_2,84.83537650108337,0.027275025844573975,0.4295,1307,2000,0.05
CES,83.94890141487122,0.016625046730041504,0.0535,1514,2000,0.05
Gini,83.50313234329224,0.026250004768371582,0.427,1339,2000,0.05
Random,84.26112198829651,0.022675037384033203,0.041,1655,2000,0.05
MAX_P,84.86592435836792,0.029100000858306885,0.465,1368,2000,0.05
LSA,82.84615135192871,0.01969999074935913,0.2895,732,2000,0.05
DeepDiv,84.36244535446167,0.037150025367736816,0.0,1934,3000,0.075
DeepDAC,86.8532829284668,0.038450002670288086,0.5066666666666667,2112,3000,0.075
DeepDAC_2,84.55295729637146,0.03637504577636719,0.4713333333333333,2058,3000,0.075
CES,85.70299410820007,0.02195000648498535,0.07066666666666667,2263,3000,0.075
Gini,85.54624319076538,0.031100034713745117,0.453,2055,3000,0.075
Random,84.60970568656921,0.02837502956390381,0.065,2471,3000,0.075
MAX_P,85.42243123054504,0.03197503089904785,0.49033333333333334,2112,3000,0.075
LSA,85.20360517501831,0.018999993801116943,0.3303333333333333,1105,3000,0.075
DeepDiv,85.80627703666687,0.042225003242492676,0.0,2603,4000,0.1
DeepDAC,85.16719365119934,0.04385000467300415,0.5145,2811,4000,0.1
DeepDAC_2,85.83310222625732,0.03979998826980591,0.4925,2775,4000,0.1
CES,86.81677579879761,0.029399991035461426,0.08825,3024,4000,0.1
Gini,85.61007118225098,0.037600040435791016,0.484,2798,4000,0.1
Random,85.4704840183258,0.036550045013427734,0.088,3295,4000,0.1
MAX_P,86.02972435951233,0.039350032806396484,0.5245,2844,4000,0.1
LSA,85.34355139732361,0.02114999294281006,0.35775,1507,4000,0.1
