name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,89.19189357757568,0.025025010108947754,0.0,839,1000,0.025
DeepDAC,85.56547427177429,0.02597498893737793,0.393,858,1000,0.025
DeepDAC_2,85.23796606063843,0.021750032901763916,0.455,884,1000,0.025
CES,86.07028198242188,0.007674992084503174,0.017,730,1000,0.025
Gini,85.66796350479126,0.019550025463104248,0.492,939,1000,0.025
Random,89.51101112365723,0.017075002193450928,0.016,844,1000,0.025
MAX_P,86.49911260604858,0.02240002155303955,0.487,925,1000,0.025
LSA,86.81663489341736,0.015700042247772217,0.167,454,1000,0.025
DeepDiv,88.0008373260498,0.033924996852874756,0.0,1653,2000,0.05
DeepDAC,86.71964526176453,0.03395003080368042,0.502,1714,2000,0.05
DeepDAC_2,87.3936173915863,0.029900014400482178,0.4745,1768,2000,0.05
CES,85.99722337722778,0.01877504587173462,0.0355,1478,2000,0.05
Gini,85.69096446037292,0.030000030994415283,0.4585,1869,2000,0.05
Random,87.05571413040161,0.02120000123977661,0.0395,1667,2000,0.05
MAX_P,85.93734812736511,0.03062504529953003,0.4885,1840,2000,0.05
LSA,85.29184818267822,0.017075002193450928,0.275,941,2000,0.05
DeepDiv,87.8158655166626,0.03947502374649048,0.0,2462,3000,0.075
DeepDAC,87.92731404304504,0.0412750244140625,0.537,2549,3000,0.075
DeepDAC_2,87.62728428840637,0.03327500820159912,0.5083333333333333,2661,3000,0.075
CES,88.04268431663513,0.025075018405914307,0.05533333333333333,2218,3000,0.075
Gini,89.26716828346252,0.03802502155303955,0.48933333333333334,2762,3000,0.075
Random,88.126056432724,0.02770000696182251,0.06166666666666667,2493,3000,0.075
MAX_P,89.19623923301697,0.03977501392364502,0.525,2742,3000,0.075
LSA,85.44734311103821,0.024075031280517578,0.32,1413,3000,0.075
DeepDiv,87.30019640922546,0.042150020599365234,0.0,3291,4000,0.1
DeepDAC,91.24564099311829,0.04537498950958252,0.54575,3354,4000,0.1
DeepDAC_2,91.92402958869934,0.04217499494552612,0.54375,3497,4000,0.1
CES,88.7715413570404,0.027725040912628174,0.0735,2963,4000,0.1
Gini,88.67385363578796,0.04385000467300415,0.51975,3661,4000,0.1
Random,89.42475247383118,0.032350003719329834,0.07975,3330,4000,0.1
MAX_P,89.46987247467041,0.04414999485015869,0.55025,3624,4000,0.1
LSA,87.32765889167786,0.028124988079071045,0.35175,1957,4000,0.1
