name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,86.6781644821167,0.02557504177093506,0.0,1000,1000,0.025
DeepDAC,87.88996267318726,0.023575007915496826,0.438,1000,1000,0.025
DeepDAC_2,84.62164163589478,0.02385002374649048,0.471,1000,1000,0.025
CES,83.89364314079285,0.01357501745223999,0.02,1000,1000,0.025
Gini,83.54063248634338,0.021750032901763916,0.487,1000,1000,0.025
Random,84.27050685882568,0.016475021839141846,0.024,1000,1000,0.025
MAX_P,82.91567873954773,0.024950027465820312,0.49,1000,1000,0.025
LSA,85.18485736846924,0.01727503538131714,0.245,1000,1000,0.025
DeepDiv,85.65047121047974,0.03530001640319824,0.0,2000,2000,0.05
DeepDAC,85.07171058654785,0.038350045680999756,0.517,2000,2000,0.05
DeepDAC_2,84.70861172676086,0.03637504577636719,0.4905,2000,2000,0.05
CES,84.00080943107605,0.024574995040893555,0.0455,2000,2000,0.05
Gini,87.28569054603577,0.03229999542236328,0.4535,2000,2000,0.05
Random,85.5236234664917,0.02642500400543213,0.0495,2000,2000,0.05
MAX_P,84.36037564277649,0.03247499465942383,0.4895,2000,2000,0.05
LSA,85.74430775642395,0.028275012969970703,0.3185,2000,2000,0.05
DeepDiv,84.8488380908966,0.04382503032684326,0.0,3000,3000,0.075
DeepDAC,85.3164119720459,0.04232501983642578,0.5466666666666666,3000,3000,0.075
DeepDAC_2,86.45835399627686,0.038150012493133545,0.5196666666666667,3000,3000,0.075
CES,86.0225441455841,0.02845001220703125,0.074,3000,3000,0.075
Gini,87.36161518096924,0.039900004863739014,0.4886666666666667,3000,3000,0.075
Random,87.05199456214905,0.033399999141693115,0.07266666666666667,3000,3000,0.075
MAX_P,85.73982095718384,0.040950000286102295,0.525,3000,3000,0.075
LSA,86.09755635261536,0.03675001859664917,0.41933333333333334,3000,3000,0.075
DeepDiv,86.44868636131287,0.04842501878738403,0.0,4000,4000,0.1
DeepDAC,86.66533470153809,0.04685002565383911,0.55825,4000,4000,0.1
DeepDAC_2,85.10440945625305,0.049549996852874756,0.56125,4000,4000,0.1
CES,86.56425523757935,0.028600037097930908,0.0955,4000,4000,0.1
Gini,85.63034915924072,0.04730004072189331,0.5235,4000,4000,0.1
Random,86.38272428512573,0.03672504425048828,0.09725,4000,4000,0.1
MAX_P,86.04299187660217,0.04860001802444458,0.549,4000,4000,0.1
LSA,87.20275712013245,0.03984999656677246,0.4785,4000,4000,0.1
