name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,86.00725030899048,0.025849997997283936,0.0,883,1000,0.025
DeepDAC,84.89885139465332,0.024574995040893555,0.38,879,1000,0.025
DeepDAC_2,86.34984517097473,0.024550020694732666,0.455,899,1000,0.025
CES,86.74380111694336,0.013750016689300537,0.018,886,1000,0.025
Gini,85.84251022338867,0.01667499542236328,0.376,651,1000,0.025
Random,86.1242744922638,0.01732504367828369,0.027,828,1000,0.025
MAX_P,85.48479342460632,0.01917499303817749,0.395,714,1000,0.025
LSA,85.03725051879883,0.014850020408630371,0.207,684,1000,0.025
DeepDiv,86.4240038394928,0.03395003080368042,0.0,1740,2000,0.05
DeepDAC,85.65427494049072,0.03637504577636719,0.4705,1749,2000,0.05
DeepDAC_2,87.9361617565155,0.031800031661987305,0.4635,1827,2000,0.05
CES,85.8606629371643,0.02097499370574951,0.0425,1770,2000,0.05
Gini,85.96339297294617,0.02740001678466797,0.38,1458,2000,0.05
Random,85.50666189193726,0.02597498893737793,0.0485,1676,2000,0.05
MAX_P,84.55675458908081,0.030775010585784912,0.4275,1566,2000,0.05
LSA,84.9270122051239,0.020725011825561523,0.267,1306,2000,0.05
DeepDiv,87.0843596458435,0.04377502202987671,0.0,2590,3000,0.075
DeepDAC,87.5829005241394,0.04015004634857178,0.514,2619,3000,0.075
DeepDAC_2,85.88701009750366,0.03720003366470337,0.49533333333333335,2743,3000,0.075
CES,87.64875626564026,0.027325034141540527,0.06133333333333333,2648,3000,0.075
Gini,85.98591780662537,0.03312504291534424,0.41333333333333333,2283,3000,0.075
Random,86.5707631111145,0.029624998569488525,0.068,2521,3000,0.075
MAX_P,87.19874835014343,0.036125004291534424,0.4676666666666667,2422,3000,0.075
LSA,86.55946850776672,0.02792501449584961,0.306,1908,3000,0.075
DeepDiv,88.43193769454956,0.04152500629425049,0.0,3454,4000,0.1
DeepDAC,86.93502449989319,0.0417250394821167,0.527,3493,4000,0.1
DeepDAC_2,89.21521997451782,0.04542499780654907,0.52875,3635,4000,0.1
CES,87.70479726791382,0.02875000238418579,0.081,3547,4000,0.1
Gini,87.8141565322876,0.04075002670288086,0.45875,3150,4000,0.1
Random,88.68858790397644,0.03197503089904785,0.08475,3345,4000,0.1
MAX_P,88.00797605514526,0.0410500168800354,0.5015,3235,4000,0.1
LSA,86.59750890731812,0.03315001726150513,0.37825,2495,4000,0.1
