name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,85.78216910362244,0.02987504005432129,0.0,1000,1000,0.025
DeepDAC,84.4845781326294,0.027750015258789062,0.376,1000,1000,0.025
DeepDAC_2,83.49795341491699,0.026050031185150146,0.433,1000,1000,0.025
CES,84.88821601867676,0.01230001449584961,0.019,1000,1000,0.025
Gini,84.17057299613953,0.01907503604888916,0.425,1000,1000,0.025
Random,84.98884415626526,0.016625046730041504,0.022,1000,1000,0.025
MAX_P,83.8368890285492,0.023225009441375732,0.43,1000,1000,0.025
LSA,84.17924785614014,0.017400026321411133,0.219,1000,1000,0.025
DeepDiv,87.43785333633423,0.03607499599456787,0.0,2000,2000,0.05
DeepDAC,86.61151719093323,0.0375249981880188,0.462,2000,2000,0.05
DeepDAC_2,85.72608065605164,0.030875027179718018,0.436,2000,2000,0.05
CES,84.27646970748901,0.02060002088546753,0.0405,2000,2000,0.05
Gini,83.43758654594421,0.03252500295639038,0.3985,2000,2000,0.05
Random,85.89122247695923,0.024399995803833008,0.0425,2000,2000,0.05
MAX_P,86.07097911834717,0.03100001811981201,0.419,2000,2000,0.05
LSA,86.08510422706604,0.025274991989135742,0.281,2000,2000,0.05
DeepDiv,87.69362568855286,0.040425002574920654,0.0,3000,3000,0.075
DeepDAC,86.37148141860962,0.04597502946853638,0.4856666666666667,3000,3000,0.075
DeepDAC_2,88.05817675590515,0.041175007820129395,0.46266666666666667,3000,3000,0.075
CES,85.97845339775085,0.03040003776550293,0.058,3000,3000,0.075
Gini,87.43772196769714,0.03712499141693115,0.423,3000,3000,0.075
Random,88.51490426063538,0.02912503480911255,0.06233333333333333,3000,3000,0.075
MAX_P,87.09460258483887,0.0384250283241272,0.4503333333333333,3000,3000,0.075
LSA,85.8590817451477,0.03532499074935913,0.36566666666666664,3000,3000,0.075
DeepDiv,87.83907580375671,0.0473250150680542,0.0,4000,4000,0.1
DeepDAC,89.44762396812439,0.04455000162124634,0.50625,4000,4000,0.1
DeepDAC_2,88.05909371376038,0.0497249960899353,0.5005,4000,4000,0.1
CES,88.66258406639099,0.035374999046325684,0.0765,4000,4000,0.1
Gini,87.50072121620178,0.04022502899169922,0.454,4000,4000,0.1
Random,85.76749658584595,0.03440004587173462,0.08175,4000,4000,0.1
MAX_P,87.90103602409363,0.04350000619888306,0.47825,4000,4000,0.1
LSA,88.01205039024353,0.04234999418258667,0.427,4000,4000,0.1
