name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,511.46572375297546,0.03622502088546753,0.0,565,1000,0.025
DeepDAC,541.2020354270935,0.033649981021881104,0.34,679,1000,0.025
DeepDAC_2,545.083413362503,0.02522498369216919,0.404,577,1000,0.025
CES,551.3047289848328,0.01947498321533203,0.025,830,1000,0.025
Gini,468.74785590171814,0.028950035572052002,0.489,558,1000,0.025
Random,466.8242437839508,0.017849981784820557,0.026,811,1000,0.025
MAX_P,457.7800374031067,0.022525012493133545,0.563,599,1000,0.025
LSA,528.2325632572174,0.015524983406066895,0.084,964,1000,0.025
DeepDiv,551.2836604118347,0.04409998655319214,0.0,1201,2000,0.05
DeepDAC,478.86329102516174,0.04430001974105835,0.4775,1373,2000,0.05
DeepDAC_2,484.5866696834564,0.03205001354217529,0.4655,1216,2000,0.05
CES,517.3544499874115,0.02165001630783081,0.0435,1653,2000,0.05
Gini,562.3669624328613,0.02567499876022339,0.4795,1194,2000,0.05
Random,558.8326895236969,0.04025000333786011,0.038,1651,2000,0.05
MAX_P,509.277414560318,0.0435749888420105,0.545,1231,2000,0.05
LSA,501.9189975261688,0.031575024127960205,0.1215,1774,2000,0.05
DeepDiv,445.0011553764343,0.032949984073638916,0.0,1855,3000,0.075
DeepDAC,534.5459651947021,0.056250035762786865,0.5273333333333333,2095,3000,0.075
DeepDAC_2,601.7156071662903,0.03465002775192261,0.4886666666666667,1900,3000,0.075
CES,584.8870429992676,0.0383000373840332,0.068,2489,3000,0.075
Gini,631.3588976860046,0.04552501440048218,0.5006666666666667,1815,3000,0.075
Random,653.246906042099,0.04620003700256348,0.051666666666666666,2500,3000,0.075
MAX_P,647.6748640537262,0.04597502946853638,0.557,1861,3000,0.075
LSA,692.7799501419067,0.041249990463256836,0.17066666666666666,2498,3000,0.075
DeepDiv,677.485015630722,0.057550013065338135,0.0,2482,4000,0.1
DeepDAC,658.7191274166107,0.0595250129699707,0.55925,2801,4000,0.1
DeepDAC_2,651.1859011650085,0.05344998836517334,0.52575,2579,4000,0.1
CES,694.0274543762207,0.047200024127960205,0.08675,3320,4000,0.1
Gini,663.1556904315948,0.04650002717971802,0.54325,2468,4000,0.1
Random,699.6304066181183,0.0442500114440918,0.07425,3328,4000,0.1
MAX_P,658.6771042346954,0.04717499017715454,0.59375,2528,4000,0.1
LSA,660.1352174282074,0.045549988746643066,0.206,3188,4000,0.1
