name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,682.5454878807068,0.027824997901916504,0.0,687,1000,0.025
DeepDAC,570.7604501247406,0.02944999933242798,0.338,672,1000,0.025
DeepDAC_2,574.7000632286072,0.030000030994415283,0.404,617,1000,0.025
CES,539.6317479610443,0.00527501106262207,0.02,835,1000,0.025
Gini,552.7987568378448,0.023200035095214844,0.502,646,1000,0.025
Random,563.8210310935974,0.0249750018119812,0.022,844,1000,0.025
MAX_P,555.3888442516327,0.03272503614425659,0.548,649,1000,0.025
LSA,562.6395440101624,0.012475013732910156,0.106,928,1000,0.025
DeepDiv,543.2874436378479,0.04097503423690796,0.0,1438,2000,0.05
DeepDAC,563.1760876178741,0.034350037574768066,0.4915,1371,2000,0.05
DeepDAC_2,562.9615771770477,0.03302502632141113,0.47,1254,2000,0.05
CES,535.123297214508,0.028874993324279785,0.0405,1667,2000,0.05
Gini,569.6249606609344,0.03395003080368042,0.4775,1291,2000,0.05
Random,573.1318175792694,0.04132503271102905,0.0435,1697,2000,0.05
MAX_P,540.043523311615,0.05457502603530884,0.5425,1311,2000,0.05
LSA,667.0770342350006,0.03702503442764282,0.1525,1776,2000,0.05
DeepDiv,621.1609542369843,0.04892498254776001,0.0,2188,3000,0.075
DeepDAC,561.2114624977112,0.036650002002716064,0.5343333333333333,2054,3000,0.075
DeepDAC_2,585.7144122123718,0.04159998893737793,0.485,1893,3000,0.075
CES,585.850928068161,0.041675031185150146,0.06,2504,3000,0.075
Gini,508.2719612121582,0.03337502479553223,0.496,1939,3000,0.075
Random,570.379378080368,0.04694998264312744,0.06066666666666667,2521,3000,0.075
MAX_P,573.5989785194397,0.04455000162124634,0.555,1963,3000,0.075
LSA,579.1532514095306,0.02030003070831299,0.19333333333333333,2605,3000,0.075
DeepDiv,564.7653272151947,0.0508500337600708,0.0,2944,4000,0.1
DeepDAC,744.7521350383759,0.05372500419616699,0.55875,2744,4000,0.1
DeepDAC_2,537.8590488433838,0.043650031089782715,0.5385,2541,4000,0.1
CES,574.820987701416,0.051725029945373535,0.0785,3336,4000,0.1
Gini,566.1901848316193,0.06287503242492676,0.54475,2589,4000,0.1
Random,560.9487776756287,0.045475006103515625,0.08725,3349,4000,0.1
MAX_P,519.5806405544281,0.06252503395080566,0.59525,2642,4000,0.1
LSA,581.2633187770844,0.03937500715255737,0.2335,3324,4000,0.1
