name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,560.4717397689819,0.03827500343322754,0.0,1000,1000,0.025
DeepDAC,545.9701955318451,0.02922499179840088,0.42,1000,1000,0.025
DeepDAC_2,626.4834268093109,0.041175007820129395,0.49,1000,1000,0.025
CES,682.8049359321594,0.02337503433227539,0.022,1000,1000,0.025
Gini,490.28078508377075,0.028500020503997803,0.559,1000,1000,0.025
Random,561.8516762256622,0.01887500286102295,0.029,1000,1000,0.025
MAX_P,565.8309121131897,0.03977501392364502,0.596,1000,1000,0.025
LSA,527.0787575244904,0.02845001220703125,0.118,1000,1000,0.025
DeepDiv,506.1044647693634,0.05037498474121094,0.0,2000,2000,0.05
DeepDAC,573.3362028598785,0.05102503299713135,0.5525,2000,2000,0.05
DeepDAC_2,585.2007966041565,0.04640001058578491,0.547,2000,2000,0.05
CES,524.3874769210815,0.03412503004074097,0.051,2000,2000,0.05
Gini,669.8326075077057,0.041925013065338135,0.5475,2000,2000,0.05
Random,729.5066962242126,0.04075002670288086,0.057,2000,2000,0.05
MAX_P,691.6704018115997,0.05417501926422119,0.597,2000,2000,0.05
LSA,657.1145560741425,0.029900014400482178,0.1685,2000,2000,0.05
DeepDiv,675.8638944625854,0.046900033950805664,0.0,3000,3000,0.075
DeepDAC,674.243369102478,0.05594998598098755,0.5803333333333334,3000,3000,0.075
DeepDAC_2,685.480386018753,0.05772501230239868,0.5883333333333334,3000,3000,0.075
CES,671.1216225624084,0.028800010681152344,0.07666666666666666,3000,3000,0.075
Gini,692.0819666385651,0.052725017070770264,0.585,3000,3000,0.075
Random,709.5679426193237,0.042375028133392334,0.07933333333333334,3000,3000,0.075
MAX_P,676.2411592006683,0.06072503328323364,0.63,3000,3000,0.075
LSA,698.2103543281555,0.045475006103515625,0.21433333333333332,3000,3000,0.075
DeepDiv,684.6846508979797,0.06075000762939453,0.0,4000,4000,0.1
DeepDAC,680.8614158630371,0.057025015354156494,0.61125,4000,4000,0.1
DeepDAC_2,705.6525814533234,0.07630002498626709,0.635,4000,4000,0.1
CES,685.6267771720886,0.056500017642974854,0.099,4000,4000,0.1
Gini,710.016637802124,0.062150001525878906,0.63,4000,4000,0.1
Random,694.8807408809662,0.03582501411437988,0.0995,4000,4000,0.1
MAX_P,686.5394690036774,0.06202501058578491,0.641,4000,4000,0.1
LSA,702.6100769042969,0.04737502336502075,0.26225,4000,4000,0.1
