name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,649.3144929409027,0.027225017547607422,0.0,919,1000,0.025
DeepDAC,676.0765120983124,0.044499993324279785,0.376,960,1000,0.025
DeepDAC_2,643.9754931926727,0.031650006771087646,0.456,988,1000,0.025
CES,665.5649628639221,0.03329998254776001,0.02,866,1000,0.025
Gini,669.1211864948273,0.028174996376037598,0.517,893,1000,0.025
Random,644.5009191036224,0.015900015830993652,0.02,842,1000,0.025
MAX_P,676.731437921524,0.03357499837875366,0.536,827,1000,0.025
LSA,664.43940782547,0.011250019073486328,0.035,91,1000,0.025
DeepDiv,666.3695602416992,0.036100029945373535,0.0,1780,2000,0.05
DeepDAC,688.7340953350067,0.047524988651275635,0.5035,1887,2000,0.05
DeepDAC_2,687.3877398967743,0.057850003242492676,0.4945,1970,2000,0.05
CES,667.9441471099854,0.037850022315979004,0.039,1747,2000,0.05
Gini,685.5965631008148,0.025825023651123047,0.4805,1674,2000,0.05
Random,665.5630557537079,0.032100021839141846,0.041,1686,2000,0.05
MAX_P,685.3059906959534,0.03290003538131714,0.5175,1611,2000,0.05
LSA,658.6679310798645,0.007274985313415527,0.063,172,2000,0.05
DeepDiv,681.6385016441345,0.04844999313354492,0.0,2635,3000,0.075
DeepDAC,700.0067539215088,0.05080002546310425,0.5393333333333333,2810,3000,0.075
DeepDAC_2,655.6682758331299,0.05787503719329834,0.5243333333333333,2934,3000,0.075
CES,531.9135205745697,0.04212498664855957,0.059,2641,3000,0.075
Gini,587.8306527137756,0.046975016593933105,0.509,2429,3000,0.075
Random,580.659586429596,0.03507500886917114,0.063,2525,3000,0.075
MAX_P,530.2931518554688,0.05160003900527954,0.5496666666666666,2374,3000,0.075
LSA,551.0750679969788,0.012000024318695068,0.09266666666666666,332,3000,0.075
DeepDiv,601.6537795066833,0.047500014305114746,0.0,3492,4000,0.1
DeepDAC,534.027765750885,0.0636250376701355,0.56675,3764,4000,0.1
DeepDAC_2,582.8569164276123,0.0720750093460083,0.57725,3874,4000,0.1
CES,584.8403737545013,0.04610002040863037,0.083,3528,4000,0.1
Gini,604.8942928314209,0.06000000238418579,0.546,3159,4000,0.1
Random,535.5175938606262,0.04562503099441528,0.0785,3348,4000,0.1
MAX_P,595.4823596477509,0.059149980545043945,0.58275,3155,4000,0.1
LSA,492.88919496536255,0.020650029182434082,0.1185,578,4000,0.1
