name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,537.5245244503021,0.03527498245239258,0.0,1000,1000,0.025
DeepDAC,569.3460550308228,0.03355002403259277,0.374,1000,1000,0.025
DeepDAC_2,500.29573249816895,0.022975027561187744,0.456,1000,1000,0.025
CES,540.4939758777618,0.030000030994415283,0.018,1000,1000,0.025
Gini,551.0206182003021,0.03697502613067627,0.507,1000,1000,0.025
Random,591.6487114429474,0.030650019645690918,0.016,1000,1000,0.025
MAX_P,514.1560018062592,0.03280001878738403,0.534,1000,1000,0.025
LSA,549.1227164268494,0.026825010776519775,0.104,1000,1000,0.025
DeepDiv,576.0060119628906,0.05070000886917114,0.0,2000,2000,0.05
DeepDAC,528.0982251167297,0.04557502269744873,0.496,2000,2000,0.05
DeepDAC_2,553.3030984401703,0.04295003414154053,0.5125,2000,2000,0.05
CES,584.1909601688385,0.04347503185272217,0.0365,2000,2000,0.05
Gini,554.7139794826508,0.04897499084472656,0.4885,2000,2000,0.05
Random,506.6101460456848,0.023200035095214844,0.0375,2000,2000,0.05
MAX_P,572.1720776557922,0.031674981117248535,0.5265,2000,2000,0.05
LSA,567.9137063026428,0.03130000829696655,0.1435,2000,2000,0.05
DeepDiv,539.6811957359314,0.0598750114440918,0.0,3000,3000,0.075
DeepDAC,587.413938999176,0.05395001173019409,0.527,3000,3000,0.075
DeepDAC_2,585.2414915561676,0.05010002851486206,0.5446666666666666,3000,3000,0.075
CES,486.28968119621277,0.04635000228881836,0.061,3000,3000,0.075
Gini,531.367819070816,0.05817502737045288,0.5226666666666666,3000,3000,0.075
Random,597.7297132015228,0.05190002918243408,0.058,3000,3000,0.075
MAX_P,594.1991181373596,0.04285001754760742,0.5556666666666666,3000,3000,0.075
LSA,470.62595677375793,0.03700000047683716,0.18833333333333332,3000,3000,0.075
DeepDiv,625.6508550643921,0.06440001726150513,0.0,4000,4000,0.1
DeepDAC,617.4145965576172,0.06330001354217529,0.5515,4000,4000,0.1
DeepDAC_2,560.5995080471039,0.0654749870300293,0.5875,4000,4000,0.1
CES,567.4678905010223,0.05032503604888916,0.0815,4000,4000,0.1
Gini,603.8532452583313,0.06022500991821289,0.55275,4000,4000,0.1
Random,545.1898126602173,0.04217499494552612,0.08025,4000,4000,0.1
MAX_P,528.4739353656769,0.057300031185150146,0.57175,4000,4000,0.1
LSA,601.5128111839294,0.037249982357025146,0.2305,4000,4000,0.1
