name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,84.78486108779907,0.026699960231781006,0.0,397,1000,0.025
DeepDAC,86.20416951179504,0.027749955654144287,0.276,624,1000,0.025
DeepDAC_2,87.22652316093445,0.022399961948394775,0.299,375,1000,0.025
CES,85.58163380622864,0.009849965572357178,0.007,918,1000,0.025
Gini,84.98956227302551,0.013849973678588867,0.277,66,1000,0.025
Random,87.32363152503967,0.016874969005584717,0.022,840,1000,0.025
MAX_P,84.66119837760925,0.014499962329864502,0.35,89,1000,0.025
LSA,87.81839847564697,0.024674952030181885,0.256,425,1000,0.025
DeepDiv,87.85226917266846,0.03739994764328003,0.0,959,2000,0.05
DeepDAC,86.56128215789795,0.039224982261657715,0.3675,1269,2000,0.05
DeepDAC_2,86.85147547721863,0.03239995241165161,0.3575,877,2000,0.05
CES,86.92350959777832,0.013125002384185791,0.0235,1835,2000,0.05
Gini,83.19380116462708,0.019599974155426025,0.365,293,2000,0.05
Random,87.59145331382751,0.02392500638961792,0.044,1666,2000,0.05
MAX_P,85.78318476676941,0.025199949741363525,0.4335,351,2000,0.05
LSA,84.8775942325592,0.029699981212615967,0.3175,750,2000,0.05
DeepDiv,87.64337301254272,0.04412496089935303,0.0,1524,3000,0.075
DeepDAC,88.02500414848328,0.04572498798370361,0.411,1885,3000,0.075
DeepDAC_2,87.53074073791504,0.04297494888305664,0.4126666666666667,1598,3000,0.075
CES,87.81607151031494,0.01940000057220459,0.038,2743,3000,0.075
Gini,85.50590300559998,0.028925001621246338,0.43566666666666665,603,3000,0.075
Random,88.25766229629517,0.0303499698638916,0.06266666666666666,2496,3000,0.075
MAX_P,85.85943508148193,0.029899954795837402,0.49833333333333335,707,3000,0.075
LSA,86.71680092811584,0.035474956035614014,0.38566666666666666,1144,3000,0.075
DeepDiv,88.65489196777344,0.048299968242645264,0.0,2111,4000,0.1
DeepDAC,89.4984781742096,0.05299997329711914,0.42825,2503,4000,0.1
DeepDAC_2,87.96876549720764,0.04697495698928833,0.42925,2341,4000,0.1
CES,91.25597190856934,0.022624969482421875,0.05025,3658,4000,0.1
Gini,86.46318244934082,0.03549998998641968,0.5095,1005,4000,0.1
Random,88.60114049911499,0.03352499008178711,0.08,3340,4000,0.1
MAX_P,88.40252828598022,0.03764998912811279,0.5585,1102,4000,0.1
LSA,86.912437915802,0.0403749942779541,0.44225,1588,4000,0.1
