name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,69.49366354942322,0.026999950408935547,0.0,488,1000,0.025
DeepDAC,66.68788313865662,0.03277498483657837,0.293,809,1000,0.025
DeepDAC_2,66.05410671234131,0.029624998569488525,0.32,707,1000,0.025
CES,66.27443218231201,0.011824965476989746,0.009,966,1000,0.025
Gini,64.13125467300415,0.022799968719482422,0.546,373,1000,0.025
Random,64.770094871521,0.021025002002716064,0.02,835,1000,0.025
MAX_P,65.01491856575012,0.02432495355606079,0.599,389,1000,0.025
LSA,66.03019165992737,0.025274991989135742,0.309,494,1000,0.025
DeepDiv,66.111252784729,0.04025000333786011,0.0,1092,2000,0.05
DeepDAC,67.45531606674194,0.04177498817443848,0.385,1603,2000,0.05
DeepDAC_2,66.34502410888672,0.041474997997283936,0.379,1487,2000,0.05
CES,65.9691252708435,0.018099963665008545,0.0215,1925,2000,0.05
Gini,65.16997051239014,0.03007495403289795,0.5575,728,2000,0.05
Random,65.52013945579529,0.027974963188171387,0.035,1667,2000,0.05
MAX_P,66.73355031013489,0.03254997730255127,0.6095,761,2000,0.05
LSA,64.83404064178467,0.031699955463409424,0.4045,927,2000,0.05
DeepDiv,65.67187809944153,0.045874953269958496,0.0,1723,3000,0.075
DeepDAC,67.08809733390808,0.04944998025894165,0.41333333333333333,2420,3000,0.075
DeepDAC_2,65.97508525848389,0.046849966049194336,0.404,2346,3000,0.075
CES,64.80881595611572,0.02222496271133423,0.033,2894,3000,0.075
Gini,64.34912538528442,0.037199974060058594,0.5806666666666667,1129,3000,0.075
Random,66.21495866775513,0.03252500295639038,0.05566666666666667,2520,3000,0.075
MAX_P,65.1043336391449,0.040299952030181885,0.6263333333333333,1203,3000,0.075
LSA,65.15963077545166,0.03712499141693115,0.4523333333333333,1317,3000,0.075
DeepDiv,66.7040581703186,0.049775004386901855,0.0,2353,4000,0.1
DeepDAC,67.07168364524841,0.0517999529838562,0.4215,3234,4000,0.1
DeepDAC_2,65.64577865600586,0.05274999141693115,0.41975,3215,4000,0.1
CES,67.67741799354553,0.02627497911453247,0.048,3856,4000,0.1
Gini,65.64994740486145,0.043299973011016846,0.61075,1563,4000,0.1
Random,66.42524075508118,0.03482496738433838,0.0775,3321,4000,0.1
MAX_P,67.01098155975342,0.04492497444152832,0.6395,1695,4000,0.1
LSA,66.92062997817993,0.04164999723434448,0.48775,1720,4000,0.1
