name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,65.4769184589386,0.03667497634887695,0.0,1000,1000,0.025
DeepDAC,64.40258240699768,0.03482496738433838,0.511,1000,1000,0.025
DeepDAC_2,63.57541847229004,0.033499956130981445,0.527,1000,1000,0.025
CES,64.18485426902771,0.015374958515167236,0.016,1000,1000,0.025
Gini,64.20367980003357,0.037499964237213135,0.744,1000,1000,0.025
Random,65.1540207862854,0.020424962043762207,0.031,1000,1000,0.025
MAX_P,64.54742121696472,0.03452497720718384,0.762,1000,1000,0.025
LSA,64.56922578811646,0.03322499990463257,0.451,1000,1000,0.025
DeepDiv,65.06639385223389,0.04762500524520874,0.0,2000,2000,0.05
DeepDAC,64.91984987258911,0.0455249547958374,0.625,2000,2000,0.05
DeepDAC_2,65.60250091552734,0.04724997282028198,0.63,2000,2000,0.05
CES,65.94046187400818,0.020500004291534424,0.032,2000,2000,0.05
Gini,64.42495441436768,0.046249985694885254,0.7815,2000,2000,0.05
Random,65.5737521648407,0.028599977493286133,0.048,2000,2000,0.05
MAX_P,64.38228631019592,0.04852497577667236,0.775,2000,2000,0.05
LSA,65.81514692306519,0.042225003242492676,0.5455,2000,2000,0.05
DeepDiv,63.66097283363342,0.05219995975494385,0.0,3000,3000,0.075
DeepDAC,66.38139510154724,0.053324997425079346,0.6466666666666666,3000,3000,0.075
DeepDAC_2,66.9385118484497,0.05172497034072876,0.6446666666666667,3000,3000,0.075
CES,66.673180103302,0.023224949836730957,0.05566666666666667,3000,3000,0.075
Gini,65.31524109840393,0.05262500047683716,0.797,3000,3000,0.075
Random,64.94300889968872,0.0339999794960022,0.07533333333333334,3000,3000,0.075
MAX_P,64.51416802406311,0.05229997634887695,0.7703333333333333,3000,3000,0.075
LSA,62.54427909851074,0.049549996852874756,0.6103333333333333,3000,3000,0.075
DeepDiv,67.4812536239624,0.058424949645996094,0.0,4000,4000,0.1
DeepDAC,68.79341864585876,0.058399975299835205,0.648,4000,4000,0.1
DeepDAC_2,68.54607367515564,0.05694997310638428,0.6455,4000,4000,0.1
CES,68.68612599372864,0.02672499418258667,0.07075,4000,4000,0.1
Gini,68.15041780471802,0.05672496557235718,0.796,4000,4000,0.1
Random,67.37471723556519,0.03807497024536133,0.09825,4000,4000,0.1
MAX_P,66.14208459854126,0.05672496557235718,0.78375,4000,4000,0.1
LSA,67.91673016548157,0.05339998006820679,0.68125,4000,4000,0.1
