name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,66.99162316322327,0.031174957752227783,0.0,637,1000,0.025
DeepDAC,66.74352860450745,0.0330999493598938,0.34,996,1000,0.025
DeepDAC_2,66.97288751602173,0.035999953746795654,0.366,999,1000,0.025
CES,67.50827097892761,0.0151749849319458,0.016,969,1000,0.025
Gini,65.54138159751892,0.0062999725341796875,0.088,23,1000,0.025
Random,64.94889950752258,0.018824994564056396,0.017,838,1000,0.025
MAX_P,79.74105191230774,0.007674992084503174,0.135,40,1000,0.025
LSA,69.14413380622864,0.028199970722198486,0.356,636,1000,0.025
DeepDiv,63.11257839202881,0.041724979877471924,0.0,1435,2000,0.05
DeepDAC,63.371702432632446,0.04614996910095215,0.447,1992,2000,0.05
DeepDAC_2,69.71368932723999,0.04394996166229248,0.4535,1999,2000,0.05
CES,68.74273824691772,0.022874951362609863,0.029,1958,2000,0.05
Gini,74.60057306289673,0.01759999990463257,0.1765,154,2000,0.05
Random,64.34644365310669,0.023124992847442627,0.0385,1669,2000,0.05
MAX_P,67.01241302490234,0.021699965000152588,0.2435,229,2000,0.05
LSA,74.30862212181091,0.03305000066757202,0.3825,977,2000,0.05
DeepDiv,59.26590275764465,0.05074995756149292,0.0,2247,3000,0.075
DeepDAC,62.13174819946289,0.051824986934661865,0.467,2986,3000,0.075
DeepDAC_2,69.96828293800354,0.05262500047683716,0.46366666666666667,2998,3000,0.075
CES,61.611353158950806,0.025699973106384277,0.04,2936,3000,0.075
Gini,68.899578332901,0.022174954414367676,0.21766666666666667,332,3000,0.075
Random,61.535046339035034,0.032424986362457275,0.059,2486,3000,0.075
MAX_P,60.60246801376343,0.028174996376037598,0.2856666666666667,484,3000,0.075
LSA,63.45944857597351,0.03912496566772461,0.4096666666666667,1370,3000,0.075
DeepDiv,73.58599877357483,0.054174959659576416,0.0,3034,4000,0.1
DeepDAC,79.43450284004211,0.0559999942779541,0.4635,3985,4000,0.1
DeepDAC_2,64.53909635543823,0.05467498302459717,0.4685,3997,4000,0.1
CES,72.44900512695312,0.027424991130828857,0.0555,3917,4000,0.1
Gini,67.07816457748413,0.02862495183944702,0.25025,535,4000,0.1
Random,75.55356621742249,0.037274956703186035,0.08,3333,4000,0.1
MAX_P,61.853180170059204,0.032449960708618164,0.31875,764,4000,0.1
LSA,70.18309998512268,0.041700005531311035,0.446,1793,4000,0.1
