name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,67.19230198860168,0.03737497329711914,0.0,1000,1000,0.025
DeepDAC,62.4896821975708,0.03464996814727783,0.454,1000,1000,0.025
DeepDAC_2,64.6575825214386,0.03572499752044678,0.493,1000,1000,0.025
CES,56.71502351760864,0.01894998550415039,0.005,1000,1000,0.025
Gini,59.921881437301636,0.03204995393753052,0.656,1000,1000,0.025
Random,64.73991823196411,0.020074963569641113,0.023,1000,1000,0.025
MAX_P,65.47480940818787,0.03450000286102295,0.676,1000,1000,0.025
LSA,69.36566591262817,0.03307497501373291,0.4,1000,1000,0.025
DeepDiv,66.94054508209229,0.04697495698928833,0.0,2000,2000,0.05
DeepDAC,61.860727071762085,0.04584997892379761,0.548,2000,2000,0.05
DeepDAC_2,76.42611575126648,0.04739999771118164,0.5425,2000,2000,0.05
CES,87.399911403656,0.018574953079223633,0.022,2000,2000,0.05
Gini,88.28272533416748,0.04514998197555542,0.6855,2000,2000,0.05
Random,87.25314140319824,0.028899967670440674,0.0455,2000,2000,0.05
MAX_P,88.28106045722961,0.04350000619888306,0.689,2000,2000,0.05
LSA,87.06156635284424,0.04242497682571411,0.4925,2000,2000,0.05
DeepDiv,88.80201745033264,0.052074968814849854,0.0,3000,3000,0.075
DeepDAC,86.34213972091675,0.05140000581741333,0.5766666666666667,3000,3000,0.075
DeepDAC_2,88.4955313205719,0.05132496356964111,0.5543333333333333,3000,3000,0.075
CES,87.9167582988739,0.023674964904785156,0.03766666666666667,3000,3000,0.075
Gini,87.51136612892151,0.05004996061325073,0.7153333333333334,3000,3000,0.075
Random,89.048579454422,0.03352499008178711,0.065,3000,3000,0.075
MAX_P,88.70422506332397,0.05122494697570801,0.677,3000,3000,0.075
LSA,88.58759689331055,0.0455249547958374,0.542,3000,3000,0.075
DeepDiv,89.45440030097961,0.05867499113082886,0.0,4000,4000,0.1
DeepDAC,88.04694962501526,0.05229997634887695,0.5815,4000,4000,0.1
DeepDAC_2,90.1550726890564,0.054874956607818604,0.552,4000,4000,0.1
CES,89.632000207901,0.02642500400543213,0.055,4000,4000,0.1
Gini,90.5370123386383,0.056599974632263184,0.7,4000,4000,0.1
Random,89.05922150611877,0.03889995813369751,0.0875,4000,4000,0.1
MAX_P,87.18500399589539,0.056599974632263184,0.67975,4000,4000,0.1
LSA,87.61244440078735,0.052275002002716064,0.603,4000,4000,0.1
