name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,130.1060552597046,0.010659933090209961,0.0,1885,2603,0.025
DeepDAC,119.08614993095398,0.011764347553253174,0.4306569343065693,2601,2603,0.025
DeepDAC_2,129.49786925315857,0.012820720672607422,0.374567806377257,2603,2603,0.025
CES,120.58182954788208,0.0005474090576171875,0.017287744909719554,2172,2603,0.025
Gini,116.09922099113464,0.008595168590545654,0.3907030349596619,1963,2603,0.025
Random,118.00050115585327,0.004091084003448486,0.02305032654629274,2153,2603,0.025
MAX_P,117.26929521560669,0.006117463111877441,0.48021513638109875,1918,2603,0.025
LSA,116.6166844367981,-0.0023241043090820312,0.015751056473300037,317,2603,0.025
DeepDiv,122.10381388664246,0.022625982761383057,0.0,3758,5206,0.05
DeepDAC,120.96354651451111,0.027168452739715576,0.4750288129081829,5202,5206,0.05
DeepDAC_2,116.52195906639099,0.024873197078704834,0.43853246254321937,5206,5206,0.05
CES,119.03692364692688,0.011226534843444824,0.031886285055704955,4302,5206,0.05
Gini,121.61617016792297,0.018602073192596436,0.4310411064156742,3884,5206,0.05
Random,123.09897041320801,0.011264979839324951,0.040914329619669614,4357,5206,0.05
MAX_P,116.83616948127747,0.023567140102386475,0.5195927775643489,3815,5206,0.05
LSA,114.84104418754578,0.006059825420379639,0.04802151363810987,893,5206,0.05
DeepDiv,121.58265995979309,0.0295981764793396,0.0,5687,7809,0.075
DeepDAC,122.25958466529846,0.03794366121292114,0.49865539761813293,7804,7809,0.075
DeepDAC_2,122.80222296714783,0.038078129291534424,0.5000640286848508,7808,7809,0.075
CES,121.60872411727905,0.013915538787841797,0.04866180048661801,6490,7809,0.075
Gini,118.28100204467773,0.02448904514312744,0.5153028556793443,5738,7809,0.075
Random,120.90684795379639,0.017920255661010742,0.059546676911256244,6544,7809,0.075
MAX_P,121.21837782859802,0.02884906530380249,0.5715200409783583,5654,7809,0.075
LSA,117.81444430351257,0.009344220161437988,0.07837111025739531,1765,7809,0.075
DeepDiv,124.25879287719727,0.04021972417831421,0.0,7615,10412,0.1
DeepDAC,132.00856232643127,0.04519432783126831,0.5140222819823281,10405,10412,0.1
DeepDAC_2,137.2050576210022,0.04629874229431152,0.5251632731463696,10408,10412,0.1
CES,128.8487730026245,0.01934152841567993,0.06511717249327699,8625,10412,0.1
Gini,128.63403964042664,0.03632068634033203,0.5732808298117557,7623,10412,0.1
Random,141.0761444568634,0.02683234214782715,0.07942758355743373,8682,10412,0.1
MAX_P,147.09021186828613,0.032719314098358154,0.5812524010756819,7569,10412,0.1
LSA,130.80272579193115,0.010832786560058594,0.10718401844026124,2763,10412,0.1
