name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,130.36260867118835,0.008671998977661133,0.0,1869,2603,0.025
DeepDAC,117.10245203971863,0.01310884952545166,0.4494813676527084,2281,2603,0.025
DeepDAC_2,121.12824320793152,0.01185077428817749,0.39377641183250095,2341,2603,0.025
CES,165.19104146957397,0.0006914138793945312,0.01882443334613907,2338,2603,0.025
Gini,163.57876443862915,0.008134186267852783,0.409527468305801,2151,2603,0.025
Random,147.0993151664734,-0.0011044144630432129,0.019976949673453707,2164,2603,0.025
MAX_P,121.38315606117249,0.007193028926849365,0.48866692278140605,2079,2603,0.025
LSA,106.66582012176514,0.0030826926231384277,0.02727621974644641,590,2603,0.025
DeepDiv,112.24833941459656,0.01811230182647705,0.0,3624,5206,0.05
DeepDAC,109.31371068954468,0.024815618991851807,0.503457548981944,4571,5206,0.05
DeepDAC_2,98.92876124382019,0.023999273777008057,0.4394928928159816,4640,5206,0.05
CES,106.49655556678772,0.011351406574249268,0.03457548981943911,4652,5206,0.05
Gini,112.137531042099,0.017920255661010742,0.444487130234345,4136,5206,0.05
Random,103.56608819961548,0.008403122425079346,0.040145985401459854,4328,5206,0.05
MAX_P,106.99027824401855,0.021223843097686768,0.5309258547829427,4029,5206,0.05
LSA,147.8154137134552,0.0008835196495056152,0.059546676911256244,1352,5206,0.05
DeepDiv,156.8494589328766,0.03018397092819214,0.0,5386,7809,0.075
DeepDAC,163.25097060203552,0.03453439474105835,0.5265719042130874,6818,7809,0.075
DeepDAC_2,165.72191095352173,0.0364454984664917,0.5286208221283135,6866,7809,0.075
CES,163.0991621017456,0.015365660190582275,0.05416826738378794,6966,7809,0.075
Gini,141.5277705192566,0.0254974365234375,0.5258035599948777,6003,7809,0.075
Random,152.21727085113525,0.019178271293640137,0.05903444743244974,6517,7809,0.075
MAX_P,132.24114656448364,0.03261369466781616,0.5803559994877705,5894,7809,0.075
LSA,115.68330359458923,0.008623957633972168,0.09232936355487258,2246,7809,0.075
DeepDiv,120.80613541603088,0.0355907678604126,0.0,7213,10412,0.1
DeepDAC,122.20293927192688,0.04185229539871216,0.5384172109104879,9094,10412,0.1
DeepDAC_2,129.51298356056213,0.04159301519393921,0.5455243949289281,9150,10412,0.1
CES,124.4906165599823,0.023067712783813477,0.07193622742988859,9291,10412,0.1
Gini,133.32554173469543,0.03596532344818115,0.5851901651940069,7860,10412,0.1
Random,131.64795589447021,0.020359516143798828,0.07865923933922397,8665,10412,0.1
MAX_P,132.9466700553894,0.03658956289291382,0.5902804456396465,7795,10412,0.1
LSA,117.9211699962616,0.014568567276000977,0.12293507491356127,3254,10412,0.1
