name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,123.25588822364807,0.012119650840759277,0.0,2603,2603,0.025
DeepDAC,126.39045810699463,0.017843425273895264,0.5278524779101037,2603,2603,0.025
DeepDAC_2,124.1287841796875,0.010900020599365234,0.48021513638109875,2603,2603,0.025
CES,123.5077257156372,-0.0005762577056884766,0.024202842873607376,2603,2603,0.025
Gini,115.1998062133789,0.011072874069213867,0.46177487514406457,2603,2603,0.025
Random,134.4991216659546,0.00861436128616333,0.025355359200922013,2603,2603,0.025
MAX_P,172.8245072364807,0.01382911205291748,0.5405301575105648,2603,2603,0.025
LSA,162.4357407093048,0.01476067304611206,0.024971187091817133,2603,2603,0.025
DeepDiv,168.75376510620117,0.02773505449295044,0.0,5206,5206,0.05
DeepDAC,165.6473424434662,0.027053236961364746,0.5831732616212063,5206,5206,0.05
DeepDAC_2,140.52537393569946,0.027773499488830566,0.5624279677295428,5206,5206,0.05
CES,123.23992967605591,0.010419845581054688,0.050326546292739145,5206,5206,0.05
Gini,116.42121291160583,0.02438342571258545,0.5297733384556281,5206,5206,0.05
Random,121.03727459907532,0.013204872608184814,0.04648482520169036,5206,5206,0.05
MAX_P,129.08125257492065,0.028935492038726807,0.6029581252401076,5206,5206,0.05
LSA,125.42000317573547,0.022376298904418945,0.058202074529389164,5206,5206,0.05
DeepDiv,125.7419695854187,0.038183748722076416,0.0,7809,7809,0.075
DeepDAC,125.08643007278442,0.037357866764068604,0.614803431937508,7809,7809,0.075
DeepDAC_2,124.94065856933594,0.04129528999328613,0.6355487258291714,7809,7809,0.075
CES,127.65365934371948,0.015980303287506104,0.07119989755410423,7809,7809,0.075
Gini,123.28219223022461,0.03445756435394287,0.6173645793315405,7809,7809,0.075
Random,128.59964275360107,0.02135831117630005,0.0724804712511205,7809,7809,0.075
MAX_P,127.40604519844055,0.035561978816986084,0.6236393904469202,7809,7809,0.075
LSA,124.65282607078552,0.031125128269195557,0.08989627353054168,7809,7809,0.075
DeepDiv,127.27611684799194,0.04933351278305054,0.0,10412,10412,0.1
DeepDAC,128.18552684783936,0.04623156785964966,0.630234344986554,10412,10412,0.1
DeepDAC_2,124.94479942321777,0.04309117794036865,0.6678832116788321,10412,10412,0.1
CES,125.4559965133667,0.022433876991271973,0.08663081060315021,10412,10412,0.1
Gini,126.7539610862732,0.04549205303192139,0.6758547829427584,10412,10412,0.1
Random,131.3131628036499,0.026697874069213867,0.10084517864003073,10412,10412,0.1
MAX_P,133.46383023262024,0.041544973850250244,0.641567422205148,10412,10412,0.1
LSA,132.23200845718384,0.03318989276885986,0.11553976181329235,10412,10412,0.1
