name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,129.7928488254547,0.010170161724090576,0.0,1902,2603,0.025
DeepDAC,130.9604880809784,0.014674246311187744,0.42873607376104494,2601,2603,0.025
DeepDAC_2,130.49878883361816,0.01325291395187378,0.3757203227045717,2599,2603,0.025
CES,130.08045434951782,-0.0002689361572265625,0.013061851709565886,1934,2603,0.025
Gini,128.59459018707275,0.010285377502441406,0.3933922397233961,2001,2603,0.025
Random,148.5845422744751,-0.0011812448501586914,0.020745293891663467,2177,2603,0.025
MAX_P,173.0324583053589,0.006338357925415039,0.47791010372646947,1972,2603,0.025
LSA,149.93187165260315,0.010842382907867432,0.02228198232808298,2310,2603,0.025
DeepDiv,134.29179120063782,0.020004212856292725,0.0,3821,5206,0.05
DeepDAC,129.60603213310242,0.0303952693939209,0.4717633499807914,5200,5206,0.05
DeepDAC_2,131.19716048240662,0.026765108108520508,0.43545908567038033,5200,5206,0.05
CES,133.61230421066284,0.0053299665451049805,0.033038801383019595,3851,5206,0.05
Gini,127.96179127693176,0.018880605697631836,0.3997310795236266,3524,5206,0.05
Random,129.2111110687256,0.007596373558044434,0.042835190165194006,4313,5206,0.05
MAX_P,127.79807424545288,0.017334401607513428,0.5255474452554745,3858,5206,0.05
LSA,131.12170910835266,0.021223843097686768,0.05263157894736842,4534,5206,0.05
DeepDiv,133.02601146697998,0.028436124324798584,0.0,5807,7809,0.075
DeepDAC,140.22493195533752,0.038327813148498535,0.5085158150851582,7796,7809,0.075
DeepDAC_2,140.103759765625,0.03643590211868286,0.5026251760788834,7792,7809,0.075
CES,140.62835693359375,0.01646047830581665,0.047381226789601744,5773,7809,0.075
Gini,136.21087551116943,0.02200174331665039,0.45639646561659625,5028,7809,0.075
Random,132.05338978767395,0.016911864280700684,0.06005890639006275,6483,7809,0.075
MAX_P,138.01380920410156,0.026774704456329346,0.5802279421180689,5788,7809,0.075
LSA,140.1726131439209,0.02520930767059326,0.07849916762709694,6756,7809,0.075
DeepDiv,189.49961972236633,0.03836619853973389,0.0,7764,10412,0.1
DeepDAC,163.59448051452637,0.045059919357299805,0.5169996158278909,10384,10412,0.1
DeepDAC_2,130.8805115222931,0.042005956172943115,0.5259316173645794,10364,10412,0.1
CES,114.33266043663025,0.018342792987823486,0.06281213983864771,7689,10412,0.1
Gini,122.24537134170532,0.03136521577835083,0.49154821359969264,6363,10412,0.1
Random,128.73814606666565,0.017891407012939453,0.08038801383019593,8629,10412,0.1
MAX_P,122.39696860313416,0.034553587436676025,0.577794852093738,7467,10412,0.1
LSA,110.56451082229614,0.03466886281967163,0.10295812524010757,8971,10412,0.1
