name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,118.38468170166016,0.015596151351928711,0.0,2603,2603,0.025
DeepDAC,120.12711906433105,0.0131760835647583,0.46331156358048403,2603,2603,0.025
DeepDAC_2,99.5094907283783,0.012753486633300781,0.4260468689973108,2603,2603,0.025
CES,112.79664993286133,0.0007586479187011719,0.020361121782558587,2603,2603,0.025
Gini,153.01844096183777,0.008691191673278809,0.39147137917787167,2603,2603,0.025
Random,155.66070008277893,0.00630950927734375,0.021513638109873223,2603,2603,0.025
MAX_P,168.4958529472351,0.01005488634109497,0.46369573568958894,2603,2603,0.025
LSA,151.55666828155518,0.00921940803527832,0.020361121782558587,2603,2603,0.025
DeepDiv,144.51801347732544,0.028311312198638916,0.0,5206,5206,0.05
DeepDAC,124.99621653556824,0.026112079620361328,0.5076834421820976,5206,5206,0.05
DeepDAC_2,125.09185075759888,0.02640014886856079,0.49980791394544755,5206,5206,0.05
CES,136.75391292572021,0.012292563915252686,0.040722243565117174,5206,5206,0.05
Gini,130.81658601760864,0.022846877574920654,0.4473684210526316,5206,5206,0.05
Random,130.44352531433105,0.011005640029907227,0.04725316941990011,5206,5206,0.05
MAX_P,129.30833411216736,0.024421870708465576,0.5186323472915866,5206,5206,0.05
LSA,130.78973197937012,0.025122880935668945,0.04821359969266231,5206,5206,0.05
DeepDiv,125.69240760803223,0.04050779342651367,0.0,7809,7809,0.075
DeepDAC,131.22238993644714,0.038183748722076416,0.5372006658983225,7809,7809,0.075
DeepDAC_2,130.9119095802307,0.03694486618041992,0.5684466641055193,7809,7809,0.075
CES,131.86836433410645,0.01601874828338623,0.05519272634140095,7809,7809,0.075
Gini,130.3548605442047,0.03428471088409424,0.5233704699705468,7809,7809,0.075
Random,133.376473903656,0.021204650402069092,0.06876680752977334,7809,7809,0.075
MAX_P,132.78973007202148,0.03414064645767212,0.5506466897169933,7809,7809,0.075
LSA,121.99155569076538,0.0257759690284729,0.07516967601485465,7809,7809,0.075
DeepDiv,135.39203596115112,0.04654848575592041,0.0,10412,10412,0.1
DeepDAC,135.8460328578949,0.04113203287124634,0.5544563964656166,10412,10412,0.1
DeepDAC_2,133.58483910560608,0.04133373498916626,0.588743757203227,10412,10412,0.1
CES,150.57209491729736,0.020263493061065674,0.07308874375720323,10412,10412,0.1
Gini,169.06527137756348,0.03986436128616333,0.5793315405301576,10412,10412,0.1
Random,166.05332684516907,0.023499906063079834,0.08778332693046485,10412,10412,0.1
MAX_P,177.79874205589294,0.039777934551239014,0.5613714944295044,10412,10412,0.1
LSA,203.34170007705688,0.032277584075927734,0.09700345754898194,10412,10412,0.1
