name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,590.2967760562897,0.028753042221069336,0.0,1925,2603,0.025
DeepDAC,571.9288141727448,0.03354525566101074,0.539761813292355,2408,2603,0.025
DeepDAC_2,568.314459323883,0.03478407859802246,0.5455243949289281,2592,2603,0.025
CES,562.3814494609833,0.020177066326141357,0.04686899731079524,1990,2603,0.025
Gini,558.5957999229431,0.020782113075256348,0.4683058009988475,943,2603,0.025
Random,575.9168939590454,0.016470134258270264,0.023818670764502496,2143,2603,0.025
MAX_P,614.766569852829,0.02123349905014038,0.5097963887821744,993,2603,0.025
LSA,596.8211600780487,0.006904959678649902,0.031886285055704955,123,2603,0.025
DeepDiv,584.5935199260712,0.040056467056274414,0.0,3938,5206,0.05
DeepDAC,591.2138206958771,0.04204440116882324,0.5858624663849404,4852,5206,0.05
DeepDAC_2,588.5185496807098,0.04151618480682373,0.609296965040338,5189,5206,0.05
CES,585.850554227829,0.026649892330169678,0.08432577794852093,4006,5206,0.05
Gini,584.4347996711731,0.026073694229125977,0.4861698040722244,1978,5206,0.05
Random,606.5801360607147,0.019802570343017578,0.041106415674222054,4312,5206,0.05
MAX_P,709.029910326004,0.03064495325088501,0.5207452938916635,2203,5206,0.05
LSA,560.0721554756165,0.0056372880935668945,0.05589704187475989,219,5206,0.05
DeepDiv,594.2097837924957,0.042140424251556396,0.0,6006,7809,0.075
DeepDAC,594.2326345443726,0.04662531614303589,0.6008451786400307,7323,7809,0.075
DeepDAC_2,600.1684055328369,0.04738396406173706,0.6384940453323089,7789,7809,0.075
CES,594.4610662460327,0.03415989875793457,0.11794083749519785,5995,7809,0.075
Gini,609.5636351108551,0.03436154127120972,0.5083877577154565,3012,7809,0.075
Random,583.9127848148346,0.028964340686798096,0.0622358816749904,6463,7809,0.075
MAX_P,605.5846807956696,0.03675282001495361,0.5094122166730696,3446,7809,0.075
LSA,559.1575508117676,0.00889289379119873,0.0817006018696376,361,7809,0.075
DeepDiv,627.0748536586761,0.04900699853897095,0.0,8147,10412,0.1
DeepDAC,662.2086663246155,0.051830410957336426,0.6119861698040723,9854,10412,0.1
DeepDAC_2,692.1568968296051,0.05130225419998169,0.6439684978870533,10390,10412,0.1
CES,606.6798188686371,0.036301493644714355,0.145985401459854,8014,10412,0.1
Gini,595.7438809871674,0.04046940803527832,0.5079715712639262,4512,10412,0.1
Random,608.3562741279602,0.03183579444885254,0.08317326162120631,8624,10412,0.1
MAX_P,583.3974661827087,0.04119926691055298,0.4999039569727238,4842,10412,0.1
LSA,561.5203194618225,0.015077590942382812,0.10315021129466001,562,10412,0.1
