name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,588.2256548404694,0.023029327392578125,0.0,1081,2603,0.025
DeepDAC,558.6090214252472,0.027907967567443848,0.5443718786016135,1339,2603,0.025
DeepDAC_2,629.2418959140778,0.02808082103729248,0.40107568190549364,1633,2603,0.025
CES,603.3805823326111,0.018995821475982666,0.044179792547061086,1924,2603,0.025
Gini,661.4816699028015,0.021387159824371338,0.5739531310026892,945,2603,0.025
Random,656.9717581272125,0.016431689262390137,0.016903572800614674,2184,2603,0.025
MAX_P,661.383204460144,0.021454334259033203,0.6300422589320015,1002,2603,0.025
LSA,792.1722502708435,0.004273593425750732,0.08643872454859777,195,2603,0.025
DeepDiv,642.7350180149078,0.029069960117340088,0.0,2252,5206,0.05
DeepDAC,587.108092546463,0.03426551818847656,0.5872070687668075,2767,5206,0.05
DeepDAC_2,596.8548767566681,0.03737705945968628,0.47887053399923163,3457,5206,0.05
CES,769.8564720153809,0.022529959678649902,0.07933154053015751,3819,5206,0.05
Gini,658.1394581794739,0.029098808765411377,0.6402228198232808,2095,5206,0.05
Random,614.1761293411255,0.020474791526794434,0.0384172109104879,4353,5206,0.05
MAX_P,576.4781696796417,0.030232012271881104,0.6642335766423357,2162,5206,0.05
LSA,568.9955835342407,0.010006904602050781,0.15136381098732232,353,5206,0.05
DeepDiv,581.2245416641235,0.0366663932800293,0.0,3441,7809,0.075
DeepDAC,579.4838976860046,0.03927856683731079,0.615827890895121,4249,7809,0.075
DeepDAC_2,618.6339774131775,0.042150020599365234,0.511973364067102,5356,7809,0.075
CES,587.336368560791,0.030606567859649658,0.11115379690101165,5763,7809,0.075
Gini,617.9925091266632,0.03434234857559204,0.7095658855167115,3232,7809,0.075
Random,682.7262127399445,0.02472919225692749,0.05941861954155462,6506,7809,0.075
MAX_P,641.8715782165527,0.038395047187805176,0.6755026251760788,3437,7809,0.075
LSA,656.9206547737122,0.013291358947753906,0.2193622742988859,552,7809,0.075
DeepDiv,680.5344016551971,0.03910571336746216,0.0,4682,10412,0.1
DeepDAC,698.4433178901672,0.04451251029968262,0.6249519784863619,5791,10412,0.1
DeepDAC_2,874.3563320636749,0.04714387655258179,0.5307337687283903,7431,10412,0.1
CES,658.1799550056458,0.03594613075256348,0.14233576642335766,7682,10412,0.1
Gini,793.4379634857178,0.0388944149017334,0.6944871302343449,4681,10412,0.1
Random,818.585508108139,0.025939226150512695,0.0773146369573569,8665,10412,0.1
MAX_P,779.2300388813019,0.04165065288543701,0.6712447176334998,4856,10412,0.1
LSA,810.0202853679657,0.016441285610198975,0.2748751440645409,987,10412,0.1
