name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,794.7859320640564,0.02984786033630371,0.0,2603,2603,0.025
DeepDAC,787.9610517024994,0.034697651863098145,0.6780637725701114,2603,2603,0.025
DeepDAC_2,800.000242471695,0.03309386968612671,0.6941990011525163,2603,2603,0.025
CES,800.3532910346985,0.021147072315216064,0.06377257011140991,2603,2603,0.025
Gini,805.3445317745209,0.03219115734100342,0.7422205147906262,2603,2603,0.025
Random,803.1232566833496,0.016374051570892334,0.024587014982712256,2603,2603,0.025
MAX_P,802.5764582157135,0.030692994594573975,0.7157126392623896,2603,2603,0.025
LSA,863.1088938713074,0.020551621913909912,0.09527468305800998,2603,2603,0.025
DeepDiv,1020.5789792537689,0.04006606340408325,0.0,5206,5206,0.05
DeepDAC,1132.9216599464417,0.04158341884613037,0.7039953899346908,5206,5206,0.05
DeepDAC_2,1134.6705458164215,0.042572617530822754,0.7756434882827506,5206,5206,0.05
CES,1125.8568403720856,0.031413257122039795,0.11179408374951978,5206,5206,0.05
Gini,1123.8076748847961,0.043725013732910156,0.7116788321167883,5206,5206,0.05
Random,1132.9039194583893,0.023903250694274902,0.05474452554744526,5206,5206,0.05
MAX_P,1134.0319683551788,0.043033599853515625,0.6796004610065309,5206,5206,0.05
LSA,1120.9030106067657,0.029425323009490967,0.15693430656934307,5206,5206,0.05
DeepDiv,1162.1980004310608,0.04861325025558472,0.0,7809,7809,0.075
DeepDAC,1158.933109998703,0.04839235544204712,0.7021385580740171,7809,7809,0.075
DeepDAC_2,1156.6895077228546,0.047720134258270264,0.7894736842105263,7809,7809,0.075
CES,1150.2064583301544,0.03519707918167114,0.15136381098732232,7809,7809,0.075
Gini,1155.2283747196198,0.049487173557281494,0.6970162632859521,7809,7809,0.075
Random,1152.6445198059082,0.02913719415664673,0.07837111025739531,7809,7809,0.075
MAX_P,1157.465380191803,0.044522106647491455,0.6884364195159431,7809,7809,0.075
LSA,1163.027187347412,0.030414462089538574,0.19682417723139967,7809,7809,0.075
DeepDiv,1180.7187309265137,0.05003458261489868,0.0,10412,10412,0.1
DeepDAC,1178.1864731311798,0.051062166690826416,0.7099500576258163,10412,10412,0.1
DeepDAC_2,1177.7735996246338,0.0506972074508667,0.7567230119093353,10412,10412,0.1
CES,1170.4632549285889,0.03851991891860962,0.1822896657702651,10412,10412,0.1
Gini,1179.8860068321228,0.05131185054779053,0.7087014982712255,10412,10412,0.1
Random,1191.5162851810455,0.03211432695388794,0.10228582404917402,10412,10412,0.1
MAX_P,1191.9141178131104,0.05090850591659546,0.7059162504802151,10412,10412,0.1
LSA,1178.0563428401947,0.03771317005157471,0.23117556665386094,10412,10412,0.1
