name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,1109.3037304878235,0.02899312973022461,0.0,1849,2603,0.025
DeepDAC,1102.2995040416718,0.029319703578948975,0.4756050710718402,2179,2603,0.025
DeepDAC_2,1101.081065416336,0.028925955295562744,0.4114483288513254,1444,2603,0.025
CES,1109.5464580059052,0.01932239532470703,0.043411448328851326,1979,2603,0.025
Gini,1105.2683498859406,0.01140904426574707,0.13100268920476374,271,2603,0.025
Random,1106.5292663574219,0.015106379985809326,0.02228198232808298,2159,2603,0.025
MAX_P,1085.0283343791962,0.01271510124206543,0.21052631578947367,358,2603,0.025
LSA,1074.5889420509338,0.0018919110298156738,0.03688052247406838,1,2603,0.025
DeepDiv,1131.0191452503204,0.038212597370147705,0.0,3668,5206,0.05
DeepDAC,1134.4981288909912,0.03834700584411621,0.48693814829043414,4097,5206,0.05
DeepDAC_2,1114.6288561820984,0.03572523593902588,0.4898194391087207,3231,5206,0.05
CES,1124.7461893558502,0.027600646018981934,0.07702650787552824,3915,5206,0.05
Gini,1104.7049396038055,0.020676493644714355,0.20399538993469074,698,5206,0.05
Random,1143.024536371231,0.02200174331665039,0.038993469074145214,4321,5206,0.05
MAX_P,1112.8211891651154,0.023711204528808594,0.29273914713791777,1003,5206,0.05
LSA,1090.063847064972,0.00367814302444458,0.08202074529389167,1,5206,0.05
DeepDiv,1123.7125885486603,0.04239010810852051,0.0,5524,7809,0.075
DeepDAC,1117.8816964626312,0.045530498027801514,0.47726981687796133,5642,7809,0.075
DeepDAC_2,1132.7021355628967,0.040891945362091064,0.4905877833269305,4457,7809,0.075
CES,1146.8440101146698,0.030904293060302734,0.10615955948264823,5891,7809,0.075
Gini,1127.5990104675293,0.028916358947753906,0.30810603150211296,1573,7809,0.075
Random,1157.4385056495667,0.025545477867126465,0.06313228326290178,6508,7809,0.075
MAX_P,1118.7668225765228,0.02899312973022461,0.3667563068254578,2057,7809,0.075
LSA,1079.9690086841583,0.0005857944488525391,0.13830195927775643,1,7809,0.075
DeepDiv,1153.54687833786,0.0460779070854187,0.0,7392,10412,0.1
DeepDAC,1162.639663696289,0.047432005405426025,0.4706108336534768,7014,10412,0.1
DeepDAC_2,1150.3621587753296,0.04704785346984863,0.49279677295428354,6015,10412,0.1
CES,1155.933746099472,0.03657996654510498,0.13196311947752593,7817,10412,0.1
Gini,1133.0378262996674,0.03380453586578369,0.3915674222051479,2849,10412,0.1
Random,1187.4725065231323,0.031595706939697266,0.08374951978486361,8680,10412,0.1
MAX_P,1133.9071338176727,0.03723299503326416,0.3965616596235113,3205,10412,0.1
LSA,1106.3055408000946,0.0025449395179748535,0.19150979638878218,2,10412,0.1
