name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,1134.5380148887634,0.034505605697631836,0.0,2603,2603,0.025
DeepDAC,1128.608587026596,0.03255605697631836,0.5977718017671917,2603,2603,0.025
DeepDAC_2,1126.3059885501862,0.03486090898513794,0.6277372262773723,2603,2603,0.025
CES,1071.9765202999115,0.01962965726852417,0.05416826738378794,2603,2603,0.025
Gini,1080.9885489940643,0.02940613031387329,0.644640799077987,2603,2603,0.025
Random,1092.8222823143005,0.014789462089538574,0.019592777564348827,2603,2603,0.025
MAX_P,1088.5776734352112,0.0313076376914978,0.6373415290049942,2603,2603,0.025
LSA,1101.26096701622,0.019898593425750732,0.08374951978486361,2603,2603,0.025
DeepDiv,1108.59024643898,0.042476534843444824,0.0,5206,5206,0.05
DeepDAC,1107.4262359142303,0.0398067831993103,0.6225509028044564,5206,5206,0.05
DeepDAC_2,1111.896484375,0.04227489233016968,0.6990011525163273,5206,5206,0.05
CES,1091.8192477226257,0.030808210372924805,0.0948905109489051,5206,5206,0.05
Gini,1094.2478785514832,0.0411800742149353,0.6457933154053016,5206,5206,0.05
Random,1102.4522585868835,0.024249017238616943,0.040338071456012294,5206,5206,0.05
MAX_P,1118.8851294517517,0.03881758451461792,0.593545908567038,5206,5206,0.05
LSA,1116.6336057186127,0.025679945945739746,0.13542066845946985,5206,5206,0.05
DeepDiv,1141.0534074306488,0.047950565814971924,0.0,7809,7809,0.075
DeepDAC,1129.0680658817291,0.04463738203048706,0.6168523498527341,7809,7809,0.075
DeepDAC_2,1123.4065763950348,0.04819071292877197,0.7191701882443334,7809,7809,0.075
CES,1076.357698917389,0.035187482833862305,0.13023434498655398,7809,7809,0.075
Gini,793.4950263500214,0.04510796070098877,0.6118581124343706,7809,7809,0.075
Random,817.0999505519867,0.028426527976989746,0.06185170956588552,7809,7809,0.075
MAX_P,831.4662847518921,0.04770088195800781,0.5978998591368934,7809,7809,0.075
LSA,829.9206368923187,0.03212392330169678,0.17479830964271995,7809,7809,0.075
DeepDiv,837.5861830711365,0.051110148429870605,0.0,10412,10412,0.1
DeepDAC,834.1580753326416,0.04983288049697876,0.622358816749904,10412,10412,0.1
DeepDAC_2,844.1067929267883,0.05038028955459595,0.7003457548981944,10412,10412,0.1
CES,856.4534373283386,0.038279831409454346,0.15693430656934307,10412,10412,0.1
Gini,842.0759019851685,0.049928903579711914,0.6179408374951979,10412,10412,0.1
Random,876.4446268081665,0.03613823652267456,0.08442182097579716,10412,10412,0.1
MAX_P,845.6109035015106,0.05028426647186279,0.614099116404149,10412,10412,0.1
LSA,746.8112123012543,0.03482252359390259,0.2019784863618901,10412,10412,0.1
