name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,612.8334143161774,0.011399984359741211,0.0,912,1000,0.025
DeepDAC,489.70953917503357,-0.012149989604949951,0.393,862,1000,0.025
DeepDAC_2,501.38517355918884,0.019874989986419678,0.47,871,1000,0.025
CES,505.71365666389465,0.018299996852874756,0.034,849,1000,0.025
Gini,522.7883551120758,0.003475010395050049,0.504,772,1000,0.025
Random,506.85329413414,-0.007700026035308838,0.031,846,1000,0.025
MAX_P,489.6630280017853,0.020099997520446777,0.495,776,1000,0.025
LSA,495.882363319397,0.010850012302398682,0.039,544,1000,0.025
DeepDiv,503.5756628513336,0.03429996967315674,0.0,1819,2000,0.05
DeepDAC,534.178145647049,0.01012498140335083,0.4935,1715,2000,0.05
DeepDAC_2,505.77431774139404,0.019849956035614014,0.4775,1651,2000,0.05
CES,492.5637626647949,-0.004275023937225342,0.044,1705,2000,0.05
Gini,490.11364579200745,0.014800012111663818,0.482,1536,2000,0.05
Random,509.28940200805664,0.01712501049041748,0.046,1705,2000,0.05
MAX_P,531.254876613617,0.007574975490570068,0.4985,1534,2000,0.05
LSA,527.9575369358063,0.011524975299835205,0.0655,1052,2000,0.05
DeepDiv,615.3615741729736,0.02847498655319214,0.0,2726,3000,0.075
DeepDAC,601.1032104492188,0.011774957180023193,0.5266666666666666,2564,3000,0.075
DeepDAC_2,605.1409714221954,0.023374974727630615,0.47433333333333333,2419,3000,0.075
CES,605.1454696655273,0.024649977684020996,0.06133333333333333,2567,3000,0.075
Gini,668.8661398887634,0.02340000867843628,0.48333333333333334,2300,3000,0.075
Random,658.1403334140778,0.008125007152557373,0.06466666666666666,2534,3000,0.075
MAX_P,657.7846713066101,0.03577500581741333,0.49966666666666665,2288,3000,0.075
LSA,618.6319098472595,0.024100005626678467,0.089,1621,3000,0.075
DeepDiv,623.790994644165,0.02724999189376831,0.0,3647,4000,0.1
DeepDAC,626.5052394866943,0.019225001335144043,0.5455,3389,4000,0.1
DeepDAC_2,619.9660305976868,0.04457497596740723,0.50625,3215,4000,0.1
CES,635.7771687507629,0.03734999895095825,0.08125,3432,4000,0.1
Gini,616.6487808227539,0.029999971389770508,0.5015,3041,4000,0.1
Random,615.7020146846771,0.029999971389770508,0.0865,3371,4000,0.1
MAX_P,617.6865558624268,0.051099956035614014,0.524,3014,4000,0.1
LSA,608.2573390007019,0.01942497491836548,0.1175,2186,4000,0.1
