name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,646.6546199321747,0.021624982357025146,0.0,1000,1000,0.025
DeepDAC,656.2673122882843,0.0049250125885009766,0.428,1000,1000,0.025
DeepDAC_2,615.5812330245972,0.027374982833862305,0.504,1000,1000,0.025
CES,602.935215473175,0.03284996747970581,0.028,1000,1000,0.025
Gini,599.113201379776,0.003274977207183838,0.583,1000,1000,0.025
Random,603.4742569923401,0.017099976539611816,0.023,1000,1000,0.025
MAX_P,593.3220958709717,0.03237497806549072,0.564,1000,1000,0.025
LSA,582.4306218624115,0.018624961376190186,0.051,1000,1000,0.025
DeepDiv,590.4544990062714,0.012124955654144287,0.0,2000,2000,0.05
DeepDAC,608.183676481247,0.040049970149993896,0.5375,2000,2000,0.05
DeepDAC_2,609.8101732730865,0.020049989223480225,0.535,2000,2000,0.05
CES,613.9303464889526,0.004700005054473877,0.044,2000,2000,0.05
Gini,616.6755599975586,0.022674977779388428,0.559,2000,2000,0.05
Random,671.8712041378021,0.017199993133544922,0.0475,2000,2000,0.05
MAX_P,660.735408782959,0.017574965953826904,0.574,2000,2000,0.05
LSA,637.967545747757,0.03897500038146973,0.0855,2000,2000,0.05
DeepDiv,609.6319613456726,0.037949979305267334,0.0,3000,3000,0.075
DeepDAC,602.8875687122345,0.018575012683868408,0.572,3000,3000,0.075
DeepDAC_2,617.2468347549438,0.016524970531463623,0.5476666666666666,3000,3000,0.075
CES,607.0110590457916,0.01835000514984131,0.066,3000,3000,0.075
Gini,613.4032027721405,0.022924959659576416,0.56,3000,3000,0.075
Random,617.1284110546112,0.030075013637542725,0.073,3000,3000,0.075
MAX_P,616.7635414600372,0.015899956226348877,0.5953333333333334,3000,3000,0.075
LSA,621.3779916763306,0.036650002002716064,0.12666666666666668,3000,3000,0.075
DeepDiv,621.0455281734467,0.0377500057220459,0.0,4000,4000,0.1
DeepDAC,619.9308977127075,0.041474997997283936,0.58825,4000,4000,0.1
DeepDAC_2,672.546624660492,0.037925004959106445,0.563,4000,4000,0.1
CES,672.2782320976257,0.03095000982284546,0.0915,4000,4000,0.1
Gini,656.0937042236328,0.03162497282028198,0.589,4000,4000,0.1
Random,621.9543278217316,0.025274991989135742,0.096,4000,4000,0.1
MAX_P,631.9055795669556,0.04164999723434448,0.60125,4000,4000,0.1
LSA,629.6538393497467,0.017174959182739258,0.16275,4000,4000,0.1
