name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,606.1789181232452,0.007200002670288086,0.0,847,1000,0.025
DeepDAC,595.7197580337524,0.009799957275390625,0.366,861,1000,0.025
DeepDAC_2,590.9941308498383,0.008499979972839355,0.43,816,1000,0.025
CES,604.8281402587891,0.005149960517883301,0.017,869,1000,0.025
Gini,598.7257304191589,0.005299985408782959,0.499,719,1000,0.025
Random,601.9058237075806,0.0036500096321105957,0.024,825,1000,0.025
MAX_P,583.0613107681274,0.02454996109008789,0.502,754,1000,0.025
LSA,0.0,0.0,0.029,0,1000,0.025
DeepDiv,631.4674282073975,0.018149971961975098,0.0,1648,2000,0.05
DeepDAC,670.4867911338806,0.033724963665008545,0.4575,1732,2000,0.05
DeepDAC_2,655.8910076618195,0.012349963188171387,0.4425,1598,2000,0.05
CES,662.0744624137878,0.00937497615814209,0.037,1753,2000,0.05
Gini,614.0632879734039,0.012950003147125244,0.4805,1458,2000,0.05
Random,601.8220837116241,0.030075013637542725,0.042,1671,2000,0.05
MAX_P,609.6210496425629,0.01660001277923584,0.5115,1508,2000,0.05
LSA,0.0,0.0,0.055,0,2000,0.05
DeepDiv,622.2533781528473,0.03834998607635498,0.0,2471,3000,0.075
DeepDAC,618.1654200553894,0.02802497148513794,0.506,2583,3000,0.075
DeepDAC_2,616.0625655651093,0.03857499361038208,0.4673333333333333,2427,3000,0.075
CES,622.4717292785645,0.03154999017715454,0.05466666666666667,2635,3000,0.075
Gini,617.6501491069794,0.01637500524520874,0.49033333333333334,2206,3000,0.075
Random,616.5955746173859,-0.0018750429153442383,0.062,2502,3000,0.075
MAX_P,623.9403166770935,0.023324966430664062,0.5246666666666666,2273,3000,0.075
LSA,0.0,0.0,0.065,0,3000,0.075
DeepDiv,668.6862313747406,0.014374971389770508,0.0,3277,4000,0.1
DeepDAC,654.4540681838989,0.024649977684020996,0.53425,3442,4000,0.1
DeepDAC_2,623.8470630645752,0.038774967193603516,0.4925,3273,4000,0.1
CES,630.4434242248535,0.019324958324432373,0.078,3525,4000,0.1
Gini,629.065925359726,0.027924954891204834,0.50775,2971,4000,0.1
Random,624.7662396430969,0.005975008010864258,0.079,3346,4000,0.1
MAX_P,624.1135568618774,0.03072500228881836,0.54825,2996,4000,0.1
LSA,0.0,0.0,0.078,0,4000,0.1
