name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,151.768559217453,0.02317500114440918,0.0,624,1000,0.025
DeepDAC,158.47338438034058,0.021499991416931152,0.358,720,1000,0.025
DeepDAC_2,157.45015811920166,0.015574991703033447,0.455,610,1000,0.025
CES,150.1461935043335,0.016475021839141846,0.03,761,1000,0.025
Gini,156.54894924163818,0.0193750262260437,0.47,639,1000,0.025
Random,157.3176817893982,0.013475000858306885,0.021,840,1000,0.025
MAX_P,150.0681436061859,0.017825007438659668,0.486,673,1000,0.025
LSA,156.92351579666138,0.016950011253356934,0.187,382,1000,0.025
DeepDiv,158.75160908699036,0.026975035667419434,0.0,1275,2000,0.05
DeepDAC,151.2417266368866,0.032550036907196045,0.474,1425,2000,0.05
DeepDAC_2,158.21946382522583,0.028075039386749268,0.454,1282,2000,0.05
CES,159.59416699409485,0.020425021648406982,0.056,1512,2000,0.05
Gini,151.116694688797,0.02767503261566162,0.4305,1366,2000,0.05
Random,158.8324384689331,0.02437502145767212,0.0425,1686,2000,0.05
MAX_P,159.52964043617249,0.025225043296813965,0.4765,1389,2000,0.05
LSA,152.10171461105347,0.014075040817260742,0.269,720,2000,0.05
DeepDiv,160.80825519561768,0.03607499599456787,0.0,1928,3000,0.075
DeepDAC,159.43176412582397,0.0377500057220459,0.499,2131,3000,0.075
DeepDAC_2,153.47906064987183,0.03417503833770752,0.475,2013,3000,0.075
CES,159.39198422431946,0.02315002679824829,0.07666666666666666,2268,3000,0.075
Gini,157.47262120246887,0.032649993896484375,0.45666666666666667,2092,3000,0.075
Random,158.43996405601501,0.02865004539489746,0.061,2517,3000,0.075
MAX_P,160.55415868759155,0.03627502918243408,0.499,2122,3000,0.075
LSA,152.4097158908844,0.022825002670288086,0.31966666666666665,1087,3000,0.075
DeepDiv,160.3572964668274,0.03804999589920044,0.0,2595,4000,0.1
DeepDAC,161.4424650669098,0.04250001907348633,0.52425,2833,4000,0.1
DeepDAC_2,156.1500916481018,0.03927499055862427,0.49975,2691,4000,0.1
CES,162.62337040901184,0.029399991035461426,0.09825,3014,4000,0.1
Gini,162.50944995880127,0.037075042724609375,0.494,2842,4000,0.1
Random,155.63694548606873,0.03355002403259277,0.084,3335,4000,0.1
MAX_P,162.10863256454468,0.03932499885559082,0.532,2862,4000,0.1
LSA,159.2928512096405,0.022024989128112793,0.35725,1481,4000,0.1
