name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,124.66863250732422,0.021475017070770264,0.0,853,1000,0.025
DeepDAC,126.63293981552124,0.02490001916885376,0.405,858,1000,0.025
DeepDAC_2,126.52992153167725,0.024525046348571777,0.488,890,1000,0.025
CES,124.94261431694031,0.011575043201446533,0.021,730,1000,0.025
Gini,111.25920033454895,0.021175026893615723,0.485,946,1000,0.025
Random,120.4080696105957,0.014375030994415283,0.019,819,1000,0.025
MAX_P,126.60654973983765,0.020700037479400635,0.485,927,1000,0.025
LSA,124.9717345237732,0.014275014400482178,0.167,450,1000,0.025
DeepDiv,125.91607236862183,0.03552502393722534,0.0,1641,2000,0.05
DeepDAC,106.3323118686676,0.03692501783370972,0.5185,1708,2000,0.05
DeepDAC_2,122.06236243247986,0.031374990940093994,0.489,1771,2000,0.05
CES,122.6736855506897,0.017150044441223145,0.041,1455,2000,0.05
Gini,122.08178901672363,0.03152501583099365,0.4555,1870,2000,0.05
Random,130.39358282089233,0.022375047206878662,0.042,1676,2000,0.05
MAX_P,135.5413043498993,0.032325029373168945,0.4905,1847,2000,0.05
LSA,150.76318860054016,0.02120000123977661,0.2825,966,2000,0.05
DeepDiv,153.88896989822388,0.03925001621246338,0.0,2472,3000,0.075
DeepDAC,154.96054244041443,0.041925013065338135,0.5436666666666666,2533,3000,0.075
DeepDAC_2,140.6916003227234,0.03517502546310425,0.5166666666666667,2652,3000,0.075
CES,150.71159148216248,0.022700011730194092,0.053,2197,3000,0.075
Gini,155.10850262641907,0.03839999437332153,0.488,2761,3000,0.075
Random,153.5755865573883,0.027025043964385986,0.06566666666666666,2510,3000,0.075
MAX_P,143.23336911201477,0.04080003499984741,0.525,2744,3000,0.075
LSA,146.78964185714722,0.022050023078918457,0.31766666666666665,1415,3000,0.075
DeepDiv,154.17422819137573,0.042750000953674316,0.0,3294,4000,0.1
DeepDAC,153.13785696029663,0.04527503252029419,0.55325,3367,4000,0.1
DeepDAC_2,152.70936107635498,0.044950008392333984,0.5485,3494,4000,0.1
CES,138.6697063446045,0.0258750319480896,0.071,2950,4000,0.1
Gini,154.75847744941711,0.04790002107620239,0.52025,3661,4000,0.1
Random,155.13689947128296,0.03402501344680786,0.08475,3333,4000,0.1
MAX_P,154.6204981803894,0.04157501459121704,0.55125,3628,4000,0.1
LSA,140.21355319023132,0.02617502212524414,0.35825,1994,4000,0.1
