name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,149.56648755073547,0.025799989700317383,0.0,1000,1000,0.025
DeepDAC,150.90041971206665,0.024174988269805908,0.426,1000,1000,0.025
DeepDAC_2,152.04924845695496,0.02105003595352173,0.489,1000,1000,0.025
CES,152.45757341384888,0.01969999074935913,0.028,1000,1000,0.025
Gini,138.0116307735443,0.021750032901763916,0.487,1000,1000,0.025
Random,152.79811239242554,0.02165001630783081,0.032,1000,1000,0.025
MAX_P,154.30058670043945,0.024950027465820312,0.49,1000,1000,0.025
LSA,152.7225546836853,0.01727503538131714,0.245,1000,1000,0.025
DeepDiv,138.6398103237152,0.03530001640319824,0.0,2000,2000,0.05
DeepDAC,151.54443359375,0.03700000047683716,0.5215,2000,2000,0.05
DeepDAC_2,150.58831906318665,0.0343250036239624,0.4895,2000,2000,0.05
CES,151.17579412460327,0.0263250470161438,0.046,2000,2000,0.05
Gini,147.72304821014404,0.03229999542236328,0.4535,2000,2000,0.05
Random,144.21140575408936,0.024775028228759766,0.055,2000,2000,0.05
MAX_P,152.16897439956665,0.03247499465942383,0.4895,2000,2000,0.05
LSA,152.01173162460327,0.028275012969970703,0.3185,2000,2000,0.05
DeepDiv,154.84699392318726,0.04382503032684326,0.0,3000,3000,0.075
DeepDAC,138.74548029899597,0.043650031089782715,0.54,3000,3000,0.075
DeepDAC_2,153.7198052406311,0.039449989795684814,0.515,3000,3000,0.075
CES,152.4279294013977,0.026899993419647217,0.07233333333333333,3000,3000,0.075
Gini,152.59982085227966,0.039900004863739014,0.4886666666666667,3000,3000,0.075
Random,146.98921608924866,0.03145003318786621,0.07866666666666666,3000,3000,0.075
MAX_P,147.88352608680725,0.040950000286102295,0.525,3000,3000,0.075
LSA,156.5987114906311,0.03675001859664917,0.41933333333333334,3000,3000,0.075
DeepDiv,157.51045727729797,0.04842501878738403,0.0,4000,4000,0.1
DeepDAC,156.57142853736877,0.048200011253356934,0.55425,4000,4000,0.1
DeepDAC_2,139.373619556427,0.051425039768218994,0.56325,4000,4000,0.1
CES,157.83493661880493,0.02950000762939453,0.09175,4000,4000,0.1
Gini,157.90002417564392,0.04730004072189331,0.5235,4000,4000,0.1
Random,157.3238468170166,0.034350037574768066,0.1035,4000,4000,0.1
MAX_P,131.22686767578125,0.04860001802444458,0.549,4000,4000,0.1
LSA,118.49000811576843,0.03984999656677246,0.4785,4000,4000,0.1
