name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,150.73068642616272,0.03162503242492676,0.0,1000,1000,0.025
DeepDAC,159.44292306900024,0.026250004768371582,0.382,1000,1000,0.025
DeepDAC_2,156.35168838500977,0.02315002679824829,0.426,1000,1000,0.025
CES,151.2287290096283,0.012700021266937256,0.023,1000,1000,0.025
Gini,158.65914916992188,0.02262502908706665,0.43,1000,1000,0.025
Random,152.84246277809143,0.014950037002563477,0.02,1000,1000,0.025
MAX_P,156.5780372619629,0.02142500877380371,0.43,1000,1000,0.025
LSA,155.5774428844452,0.019524991512298584,0.219,1000,1000,0.025
DeepDiv,154.2939989566803,0.03637504577636719,0.0,2000,2000,0.05
DeepDAC,158.09803652763367,0.03595000505447388,0.4695,2000,2000,0.05
DeepDAC_2,159.84441781044006,0.03334999084472656,0.438,2000,2000,0.05
CES,151.58077025413513,0.020550012588500977,0.0405,2000,2000,0.05
Gini,162.81626987457275,0.03125,0.4,2000,2000,0.05
Random,161.03758454322815,0.026275038719177246,0.039,2000,2000,0.05
MAX_P,151.78181290626526,0.03115004301071167,0.4225,2000,2000,0.05
LSA,158.1565637588501,0.023649990558624268,0.283,2000,2000,0.05
DeepDiv,162.310284614563,0.04427504539489746,0.0,3000,3000,0.075
DeepDAC,154.85728478431702,0.04164999723434448,0.48433333333333334,3000,3000,0.075
DeepDAC_2,159.9761610031128,0.036650002002716064,0.459,3000,3000,0.075
CES,158.73363637924194,0.027300000190734863,0.056666666666666664,3000,3000,0.075
Gini,152.54363632202148,0.03712499141693115,0.425,3000,3000,0.075
Random,160.14813470840454,0.032575011253356934,0.058,3000,3000,0.075
MAX_P,159.75667691230774,0.03997504711151123,0.4533333333333333,3000,3000,0.075
LSA,152.11408615112305,0.03510004281997681,0.36733333333333335,3000,3000,0.075
DeepDiv,163.41924405097961,0.04852503538131714,0.0,4000,4000,0.1
DeepDAC,164.07036638259888,0.04680001735687256,0.50425,4000,4000,0.1
DeepDAC_2,154.9777672290802,0.04780000448226929,0.49925,4000,4000,0.1
CES,163.20761632919312,0.03667503595352173,0.07675,4000,4000,0.1
Gini,162.26764631271362,0.04120004177093506,0.455,4000,4000,0.1
Random,153.34931254386902,0.03804999589920044,0.0795,4000,4000,0.1
MAX_P,161.15398907661438,0.04234999418258667,0.47975,4000,4000,0.1
LSA,164.19877910614014,0.04307502508163452,0.42825,4000,4000,0.1
