name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,822.7696919441223,0.03342503309249878,0.0,551,1000,0.025
DeepDAC,835.1755683422089,0.031575024127960205,0.333,668,1000,0.025
DeepDAC_2,844.7560884952545,0.034150004386901855,0.418,557,1000,0.025
CES,834.748471736908,0.03220003843307495,0.025,838,1000,0.025
Gini,862.0088760852814,0.027875006198883057,0.511,585,1000,0.025
Random,832.6867237091064,0.023299992084503174,0.026,827,1000,0.025
MAX_P,830.6712267398834,0.025000035762786865,0.56,603,1000,0.025
LSA,835.7834424972534,0.02574998140335083,0.077,962,1000,0.025
DeepDiv,763.6266078948975,0.03252500295639038,0.0,1191,2000,0.05
DeepDAC,776.9090023040771,0.03764998912811279,0.4795,1366,2000,0.05
DeepDAC_2,747.8303978443146,0.03509998321533203,0.4795,1209,2000,0.05
CES,768.4433841705322,0.03345000743865967,0.035,1663,2000,0.05
Gini,737.3305215835571,0.028649985790252686,0.49,1202,2000,0.05
Random,782.1943650245667,0.0310249924659729,0.0435,1651,2000,0.05
MAX_P,754.9224693775177,0.043224990367889404,0.55,1233,2000,0.05
LSA,764.0680513381958,0.037925004959106445,0.112,1773,2000,0.05
DeepDiv,784.1475536823273,0.03547501564025879,0.0,1872,3000,0.075
DeepDAC,754.8325231075287,0.05610001087188721,0.533,2068,3000,0.075
DeepDAC_2,782.4946343898773,0.05157500505447388,0.5026666666666667,1851,3000,0.075
CES,755.0956754684448,0.04477500915527344,0.05533333333333333,2496,3000,0.075
Gini,767.6557855606079,0.039449989795684814,0.5053333333333333,1845,3000,0.075
Random,797.3327543735504,0.03652501106262207,0.058,2497,3000,0.075
MAX_P,759.1105015277863,0.04855000972747803,0.5686666666666667,1894,3000,0.075
LSA,787.1874899864197,0.02867501974105835,0.168,2477,3000,0.075
DeepDiv,763.247891664505,0.04032498598098755,0.0,2513,4000,0.1
DeepDAC,796.4454610347748,0.05817502737045288,0.55275,2793,4000,0.1
DeepDAC_2,765.8223178386688,0.0540500283241272,0.53625,2523,4000,0.1
CES,791.6462261676788,0.04734998941421509,0.08125,3330,4000,0.1
Gini,781.9985568523407,0.05367499589920044,0.54775,2497,4000,0.1
Random,772.8533298969269,0.05185002088546753,0.082,3335,4000,0.1
MAX_P,788.6139233112335,0.04612499475479126,0.59275,2560,4000,0.1
LSA,799.9076509475708,0.02770000696182251,0.2005,3210,4000,0.1
