name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,723.0549690723419,0.033325016498565674,0.0,686,1000,0.025
DeepDAC,594.5435962677002,0.03420001268386841,0.338,669,1000,0.025
DeepDAC_2,706.7003531455994,0.043200016021728516,0.389,613,1000,0.025
CES,800.0222911834717,0.01637500524520874,0.025,840,1000,0.025
Gini,863.1954131126404,0.03372502326965332,0.484,635,1000,0.025
Random,856.9562079906464,0.018000006675720215,0.022,837,1000,0.025
MAX_P,849.3498649597168,0.04100000858306885,0.536,647,1000,0.025
LSA,811.4194583892822,0.02747499942779541,0.097,921,1000,0.025
DeepDiv,864.6161417961121,0.048700034618377686,0.0,1430,2000,0.05
DeepDAC,866.7836465835571,0.04852503538131714,0.492,1353,2000,0.05
DeepDAC_2,830.8577330112457,0.03185003995895386,0.455,1234,2000,0.05
CES,836.3241295814514,0.03207498788833618,0.045,1675,2000,0.05
Gini,827.6059019565582,0.025075018405914307,0.4725,1271,2000,0.05
Random,838.3648076057434,0.016250014305114746,0.049,1657,2000,0.05
MAX_P,863.5724124908447,0.04507499933242798,0.535,1292,2000,0.05
LSA,834.0865392684937,0.030449986457824707,0.15,1771,2000,0.05
DeepDiv,853.5518517494202,0.05180001258850098,0.0,2178,3000,0.075
DeepDAC,832.8850638866425,0.05262500047683716,0.5383333333333333,2044,3000,0.075
DeepDAC_2,878.0546617507935,0.039425015449523926,0.49266666666666664,1855,3000,0.075
CES,871.664922952652,0.03787499666213989,0.06366666666666666,2504,3000,0.075
Gini,861.1813271045685,0.036650002002716064,0.504,1915,3000,0.075
Random,858.1292734146118,0.05059999227523804,0.06833333333333333,2500,3000,0.075
MAX_P,852.3949673175812,0.04070001840591431,0.5616666666666666,1949,3000,0.075
LSA,850.077632188797,0.04194998741149902,0.19,2569,3000,0.075
DeepDiv,851.1228213310242,0.044950008392333984,0.0,2924,4000,0.1
DeepDAC,845.1662056446075,0.06024998426437378,0.5645,2744,4000,0.1
DeepDAC_2,839.3547096252441,0.056800007820129395,0.54525,2510,4000,0.1
CES,902.3602952957153,0.045549988746643066,0.085,3343,4000,0.1
Gini,866.8502104282379,0.056250035762786865,0.5475,2559,4000,0.1
Random,888.640319108963,0.05132502317428589,0.08675,3325,4000,0.1
MAX_P,903.0202507972717,0.050300002098083496,0.5975,2602,4000,0.1
LSA,859.043595790863,0.03877502679824829,0.23075,3272,4000,0.1
