name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,860.4633226394653,0.04257500171661377,0.0,1000,1000,0.025
DeepDAC,814.8510389328003,0.03939998149871826,0.417,1000,1000,0.025
DeepDAC_2,869.2886645793915,0.028075039386749268,0.477,1000,1000,0.025
CES,819.8353962898254,0.02385002374649048,0.025,1000,1000,0.025
Gini,867.1242671012878,0.023350000381469727,0.559,1000,1000,0.025
Random,832.7195734977722,0.027599990367889404,0.02,1000,1000,0.025
MAX_P,849.1868367195129,0.03479999303817749,0.596,1000,1000,0.025
LSA,829.4302883148193,0.022800028324127197,0.118,1000,1000,0.025
DeepDiv,872.7069029808044,0.049250006675720215,0.0,2000,2000,0.05
DeepDAC,861.4620158672333,0.02715003490447998,0.5495,2000,2000,0.05
DeepDAC_2,848.2566590309143,0.057250022888183594,0.5455,2000,2000,0.05
CES,896.1888628005981,0.03932499885559082,0.0485,2000,2000,0.05
Gini,895.8781845569611,0.04617500305175781,0.5475,2000,2000,0.05
Random,870.4713263511658,0.03627502918243408,0.057,2000,2000,0.05
MAX_P,817.1730825901031,0.04887503385543823,0.597,2000,2000,0.05
LSA,840.3421354293823,0.02197498083114624,0.1685,2000,2000,0.05
DeepDiv,853.8053674697876,0.06697499752044678,0.0,3000,3000,0.075
DeepDAC,877.7613859176636,0.04962503910064697,0.5776666666666667,3000,3000,0.075
DeepDAC_2,870.3811366558075,0.06059998273849487,0.5823333333333334,3000,3000,0.075
CES,859.367819070816,0.04000002145767212,0.072,3000,3000,0.075
Gini,891.7934439182281,0.05570000410079956,0.585,3000,3000,0.075
Random,881.6155786514282,0.03472501039505005,0.07633333333333334,3000,3000,0.075
MAX_P,892.5526854991913,0.05349999666213989,0.63,3000,3000,0.075
LSA,894.1473677158356,0.03575003147125244,0.21433333333333332,3000,3000,0.075
DeepDiv,896.639890909195,0.0627250075340271,0.0,4000,4000,0.1
DeepDAC,885.2337610721588,0.05985003709793091,0.613,4000,4000,0.1
DeepDAC_2,871.664710521698,0.0658000111579895,0.63275,4000,4000,0.1
CES,888.9480037689209,0.053799986839294434,0.09475,4000,4000,0.1
Gini,886.5989849567413,0.053799986839294434,0.63,4000,4000,0.1
Random,865.1264491081238,0.050549983978271484,0.09875,4000,4000,0.1
MAX_P,897.5588676929474,0.06482499837875366,0.641,4000,4000,0.1
LSA,899.3412861824036,0.05027502775192261,0.26225,4000,4000,0.1
