name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,157.78843784332275,0.023225009441375732,0.0,388,1000,0.025
DeepDAC,146.81680965423584,0.029699981212615967,0.272,705,1000,0.025
DeepDAC_2,162.22201871871948,0.022549986839294434,0.248,370,1000,0.025
CES,162.39746594429016,0.022799968719482422,0.026,794,1000,0.025
Gini,160.83182883262634,0.011524975299835205,0.123,9,1000,0.025
Random,145.95412731170654,0.01969999074935913,0.02,823,1000,0.025
MAX_P,158.80540537834167,0.012724995613098145,0.19,18,1000,0.025
LSA,160.1642723083496,0.02240002155303955,0.08,286,1000,0.025
DeepDiv,162.0042233467102,0.034699976444244385,0.0,984,2000,0.05
DeepDAC,148.70638751983643,0.03957498073577881,0.368,1385,2000,0.05
DeepDAC_2,159.66677856445312,0.02867501974105835,0.3445,803,2000,0.05
CES,165.9406542778015,0.027324974536895752,0.0445,1585,2000,0.05
Gini,161.8314654827118,0.013450026512145996,0.1955,58,2000,0.05
Random,155.21203112602234,0.025799989700317383,0.0365,1671,2000,0.05
MAX_P,154.9993634223938,0.021075010299682617,0.2655,104,2000,0.05
LSA,159.72527861595154,0.029799997806549072,0.146,724,2000,0.05
DeepDiv,161.0123782157898,0.044200003147125244,0.0,1576,3000,0.075
DeepDAC,164.20374131202698,0.04500001668930054,0.3893333333333333,1963,3000,0.075
DeepDAC_2,145.6483120918274,0.04210001230239868,0.429,1465,3000,0.075
CES,163.67070174217224,0.03322499990463257,0.073,2391,3000,0.075
Gini,159.64345908164978,0.019349992275238037,0.272,207,3000,0.075
Random,165.42652654647827,0.03249996900558472,0.06066666666666667,2517,3000,0.075
MAX_P,143.78722524642944,0.022549986839294434,0.331,295,3000,0.075
LSA,161.8219747543335,0.038150012493133545,0.21933333333333332,1212,3000,0.075
DeepDiv,162.90167236328125,0.049799978733062744,0.0,2170,4000,0.1
DeepDAC,165.63953065872192,0.04922497272491455,0.405,2575,4000,0.1
DeepDAC_2,151.5497031211853,0.04855000972747803,0.4385,2175,4000,0.1
CES,166.55021905899048,0.03560000658035278,0.0865,3196,4000,0.1
Gini,159.96230173110962,0.024174988269805908,0.34775,411,4000,0.1
Random,165.7558696269989,0.03329998254776001,0.07925,3350,4000,0.1
MAX_P,150.61147832870483,0.027674973011016846,0.40375,540,4000,0.1
LSA,159.37218070030212,0.04227501153945923,0.285,1755,4000,0.1
