name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,159.13681077957153,0.028050005435943604,0.0,557,1000,0.025
DeepDAC,149.36937832832336,0.038474977016448975,0.398,995,1000,0.025
DeepDAC_2,157.05133271217346,0.03525000810623169,0.366,998,1000,0.025
CES,158.67085123062134,0.020500004291534424,0.036,821,1000,0.025
Gini,156.9663200378418,0.00914996862411499,0.006,1,1000,0.025
Random,156.6354718208313,0.019275009632110596,0.018,834,1000,0.025
MAX_P,141.52540040016174,0.008099973201751709,0.048,4,1000,0.025
LSA,158.68255972862244,0.03130000829696655,0.109,828,1000,0.025
DeepDiv,161.28587317466736,0.04272502660751343,0.0,1333,2000,0.05
DeepDAC,164.4031331539154,0.047599971294403076,0.528,1991,2000,0.05
DeepDAC_2,148.33816766738892,0.04562497138977051,0.4595,1998,2000,0.05
CES,161.3738706111908,0.029075026512145996,0.0445,1648,2000,0.05
Gini,161.81688618659973,0.009474992752075195,0.043,3,2000,0.05
Random,164.00183010101318,0.02597498893737793,0.0405,1643,2000,0.05
MAX_P,153.96547150611877,0.015200018882751465,0.1005,22,2000,0.05
LSA,153.6983199119568,0.0441250205039978,0.219,1710,2000,0.05
DeepDiv,160.27629780769348,0.04887497425079346,0.0,2069,3000,0.075
DeepDAC,164.4853172302246,0.05245000123977661,0.5443333333333333,2983,3000,0.075
DeepDAC_2,164.66107082366943,0.05087500810623169,0.4623333333333333,2996,3000,0.075
CES,147.05009150505066,0.03450000286102295,0.07,2481,3000,0.075
Gini,159.53297209739685,0.011049985885620117,0.07466666666666667,18,3000,0.075
Random,165.6977162361145,0.027750015258789062,0.066,2469,3000,0.075
MAX_P,160.99649691581726,0.013750016689300537,0.13666666666666666,70,3000,0.075
LSA,150.6507613658905,0.050099968910217285,0.28833333333333333,2597,3000,0.075
DeepDiv,163.6740527153015,0.050975024700164795,0.0,2810,4000,0.1
DeepDAC,164.47791242599487,0.055899977684020996,0.54525,3979,4000,0.1
DeepDAC_2,163.70598363876343,0.05397498607635498,0.46675,3993,4000,0.1
CES,151.12604427337646,0.034900009632110596,0.09,3314,4000,0.1
Gini,159.8580379486084,0.011799991130828857,0.108,49,4000,0.1
Random,166.83624529838562,0.03172498941421509,0.08375,3324,4000,0.1
MAX_P,159.19901633262634,0.017925024032592773,0.172,167,4000,0.1
LSA,153.22037982940674,0.05522501468658447,0.35075,3445,4000,0.1
