name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,196.8284251689911,0.012350142002105713,0.0,1859,2603,0.025
DeepDAC,202.1978588104248,0.011697113513946533,0.41605839416058393,2603,2603,0.025
DeepDAC_2,202.88527083396912,0.010256588459014893,0.38301959277756437,2576,2603,0.025
CES,202.29239010810852,0.007020175457000732,0.01920860545524395,2162,2603,0.025
Gini,203.71030473709106,0.005646884441375732,0.3834037648866692,1943,2603,0.025
Random,202.37040781974792,0.006415188312530518,0.018056089127929314,2209,2603,0.025
MAX_P,199.04141473770142,0.0068569183349609375,0.4717633499807914,1924,2603,0.025
LSA,202.66988277435303,-0.0004417896270751953,0.023818670764502496,309,2603,0.025
DeepDiv,201.58172154426575,0.022088170051574707,0.0,3756,5206,0.05
DeepDAC,202.52368688583374,0.02624654769897461,0.47195543603534384,5205,5206,0.05
DeepDAC_2,197.4511399269104,0.026342570781707764,0.439684978870534,5146,5206,0.05
CES,201.6865975856781,0.006040632724761963,0.03707260852862082,4289,5206,0.05
Gini,202.76445984840393,0.02107018232345581,0.43853246254321937,3896,5206,0.05
Random,198.2723891735077,0.010679125785827637,0.03880138301959278,4357,5206,0.05
MAX_P,199.93347144126892,0.01902461051940918,0.5259316173645794,3803,5206,0.05
LSA,194.5234580039978,0.00421595573425293,0.051479062620053785,888,5206,0.05
DeepDiv,205.43128204345703,0.028436124324798584,0.0,5669,7809,0.075
DeepDAC,209.86958765983582,0.039048075675964355,0.4971187091817134,7807,7809,0.075
DeepDAC_2,210.7098343372345,0.03547555208206177,0.5090280445639647,7703,7809,0.075
CES,206.56273651123047,0.012273311614990234,0.05314380842617493,6480,7809,0.075
Gini,208.10033321380615,0.027062833309173584,0.5140222819823281,5764,7809,0.075
Random,206.45099568367004,0.014827907085418701,0.05941861954155462,6492,7809,0.075
MAX_P,202.62910866737366,0.026774704456329346,0.5739531310026892,5679,7809,0.075
LSA,198.9152958393097,0.007519543170928955,0.07824305288769369,1739,7809,0.075
DeepDiv,208.71692872047424,0.04000842571258545,0.0,7595,10412,0.1
DeepDAC,204.18801617622375,0.04472380876541138,0.5110449481367653,10407,10412,0.1
DeepDAC_2,203.60970449447632,0.04506951570510864,0.5300614675374568,10272,10412,0.1
CES,197.8951337337494,0.02311575412750244,0.07414521705724164,8591,10412,0.1
Gini,199.99700236320496,0.03291141986846924,0.5790434114483288,7613,10412,0.1
Random,201.08400774002075,0.019216716289520264,0.08096427199385324,8686,10412,0.1
MAX_P,198.41832852363586,0.03241199254989624,0.587879369957741,7586,10412,0.1
LSA,184.717764377594,0.013675451278686523,0.10641567422205148,2754,10412,0.1
