name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,179.771151304245,0.00777888298034668,0.0,1864,2603,0.025
DeepDAC,163.13646697998047,0.011754751205444336,0.4421820975797157,2323,2603,0.025
DeepDAC_2,144.67549896240234,0.010170161724090576,0.40491740299654244,2181,2603,0.025
CES,136.28506684303284,0.004494428634643555,0.014214368036880523,2284,2603,0.025
Gini,130.37891578674316,0.01091921329498291,0.409527468305801,2145,2603,0.025
Random,132.31740045547485,0.003697335720062256,0.020745293891663467,2116,2603,0.025
MAX_P,132.3634171485901,0.01245582103729248,0.49481367652708413,2054,2603,0.025
LSA,136.32161378860474,-0.0013733506202697754,0.02727621974644641,577,2603,0.025
DeepDiv,128.0703353881836,0.02081090211868286,0.0,3603,5206,0.05
DeepDAC,139.80255889892578,0.027456581592559814,0.4936611601997695,4637,5206,0.05
DeepDAC_2,136.93694019317627,0.01956242322921753,0.44967345370726086,4218,5206,0.05
CES,136.69788718223572,0.009795606136322021,0.03592009220130619,4610,5206,0.05
Gini,131.18111324310303,0.018678903579711914,0.44775259316173643,4113,5206,0.05
Random,123.39167094230652,0.004417598247528076,0.043603534383403766,4313,5206,0.05
MAX_P,123.90160703659058,0.020868539810180664,0.5330388013830196,3996,5206,0.05
LSA,123.1292073726654,0.008230209350585938,0.06588551671148675,1342,5206,0.05
DeepDiv,121.29951429367065,0.027773499488830566,0.0,5405,7809,0.075
DeepDAC,126.6128830909729,0.03354525566101074,0.5188884620309899,6924,7809,0.075
DeepDAC_2,126.09023547172546,0.0318261981010437,0.5602509924446152,6178,7809,0.075
CES,121.54504203796387,0.016883015632629395,0.05391215264438468,6906,7809,0.075
Gini,120.95221281051636,0.028215229511260986,0.522602125752337,6005,7809,0.075
Random,132.61071181297302,0.01599949598312378,0.06326034063260341,6476,7809,0.075
MAX_P,138.57773995399475,0.03258484601974487,0.5809962863362786,5878,7809,0.075
LSA,135.01917910575867,0.01026618480682373,0.09156101933666283,2246,7809,0.075
DeepDiv,138.95836734771729,0.03191262483596802,0.0,7194,10412,0.1
DeepDAC,144.78470587730408,0.04481023550033569,0.529293123319247,9218,10412,0.1
DeepDAC_2,139.46994161605835,0.03551393747329712,0.5723203995389935,8181,10412,0.1
CES,132.31888008117676,0.015576958656311035,0.07087975412985018,9210,10412,0.1
Gini,129.95921516418457,0.03662794828414917,0.5837495197848637,7852,10412,0.1
Random,127.68563556671143,0.021195054054260254,0.08394160583941605,8642,10412,0.1
MAX_P,124.63482356071472,0.03664720058441162,0.5908567038033039,7805,10412,0.1
LSA,120.31778693199158,0.013531386852264404,0.12216673069535151,3241,10412,0.1
