name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,865.2320346832275,0.03307467699050903,0.0,1913,2603,0.025
DeepDAC,863.9615747928619,0.03224879503250122,0.5466769112562428,2498,2603,0.025
DeepDAC_2,845.0267550945282,0.030875444412231445,0.5036496350364964,2284,2603,0.025
CES,868.8821969032288,0.018736541271209717,0.043795620437956206,2000,2603,0.025
Gini,859.7647421360016,0.019735336303710938,0.47022666154437187,941,2603,0.025
Random,862.0835525989532,0.014126837253570557,0.019592777564348827,2192,2603,0.025
MAX_P,865.7694919109344,0.020599663257598877,0.5067230119093353,1004,2603,0.025
LSA,842.5975258350372,0.003966271877288818,0.03380714560122935,123,2603,0.025
DeepDiv,858.9823503494263,0.03756916522979736,0.0,3919,5206,0.05
DeepDAC,881.8056585788727,0.043033599853515625,0.5912408759124088,5029,5206,0.05
DeepDAC_2,856.1528453826904,0.0432736873626709,0.6137149442950441,4699,5206,0.05
CES,872.7420704364777,0.02834010124206543,0.08182865923933923,4008,5206,0.05
Gini,852.5844838619232,0.02913719415664673,0.48713023434498653,1966,5206,0.05
Random,859.8113343715668,0.02051323652267456,0.043987706492508646,4378,5206,0.05
MAX_P,858.5308427810669,0.031077146530151367,0.524010756819055,2198,5206,0.05
LSA,839.1059234142303,0.006357550621032715,0.05570495582020745,228,5206,0.05
DeepDiv,883.7109572887421,0.04425323009490967,0.0,6001,7809,0.075
DeepDAC,883.1767613887787,0.046317994594573975,0.6028940965552567,7592,7809,0.075
DeepDAC_2,887.08820271492,0.043628990650177,0.6472019464720195,7184,7809,0.075
CES,878.7960212230682,0.031298041343688965,0.11666026379818159,5994,7809,0.075
Gini,878.4869830608368,0.032930612564086914,0.5096683314124728,3022,7809,0.075
Random,884.2028002738953,0.027811944484710693,0.06172365219618389,6580,7809,0.075
MAX_P,861.0254349708557,0.03663760423660278,0.5128697656550134,3484,7809,0.075
LSA,847.6346387863159,0.010938465595245361,0.07901139710590345,364,7809,0.075
DeepDiv,902.0682816505432,0.046778976917266846,0.0,8138,10412,0.1
DeepDAC,901.2401015758514,0.05152314901351929,0.613618901267768,10172,10412,0.1
DeepDAC_2,911.4125571250916,0.0517728328704834,0.657798693814829,9721,10412,0.1
CES,908.2804989814758,0.03502422571182251,0.14656165962351134,8006,10412,0.1
Gini,887.9918823242188,0.042255699634552,0.5106607760276604,4518,10412,0.1
Random,900.410914182663,0.029982328414916992,0.0846139070303496,8760,10412,0.1
MAX_P,865.2345521450043,0.04209244251251221,0.5020169035728006,4864,10412,0.1
LSA,833.983772277832,0.010112524032592773,0.10218978102189781,570,10412,0.1
