name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,787.7775881290436,0.025881588459014893,0.0,1065,2603,0.025
DeepDAC,738.0145976543427,0.028973937034606934,0.4421820975797157,1798,2603,0.025
DeepDAC_2,777.824666261673,0.027274131774902344,0.4018440261237034,1605,2603,0.025
CES,738.7363240718842,0.018765389919281006,0.041490587783326933,1938,2603,0.025
Gini,722.3499295711517,0.021291077136993408,0.565117172493277,923,2603,0.025
Random,703.6168577671051,0.016047537326812744,0.02228198232808298,2177,2603,0.025
MAX_P,721.710889339447,0.019735336303710938,0.6331156358048405,974,2603,0.025
LSA,701.299402475357,0.00996851921081543,0.09181713407606608,194,2603,0.025
DeepDiv,724.1901724338531,0.03139406442642212,0.0,2221,5206,0.05
DeepDAC,743.3517506122589,0.03794366121292114,0.4859777180176719,3706,5206,0.05
DeepDAC_2,703.7766852378845,0.03738665580749512,0.4752208989627353,3444,5206,0.05
CES,758.6238920688629,0.02361518144607544,0.07817902420284287,3853,5206,0.05
Gini,692.9988181591034,0.026803553104400635,0.6407990779869381,2062,5206,0.05
Random,737.0921595096588,0.01958167552947998,0.0457164809834806,4311,5206,0.05
MAX_P,731.8923268318176,0.02881067991256714,0.6676911256242797,2116,5206,0.05
LSA,696.0339617729187,0.008556783199310303,0.15539761813292355,349,5206,0.05
DeepDiv,723.1911687850952,0.03601336479187012,0.0,3399,7809,0.075
DeepDAC,730.3632814884186,0.044589340686798096,0.5016007171212703,5708,7809,0.075
DeepDAC_2,750.3980967998505,0.04243814945220947,0.5080035856063516,5324,7809,0.075
CES,726.435304403305,0.03031843900680542,0.11614803431937508,5777,7809,0.075
Gini,717.7446942329407,0.036090195178985596,0.7107184018440261,3185,7809,0.075
Random,734.7924723625183,0.02947336435317993,0.06441285695991804,6476,7809,0.075
MAX_P,672.1051933765411,0.035869300365448,0.6789601741580228,3396,7809,0.075
LSA,697.102260351181,0.013953983783721924,0.2184658727109745,546,7809,0.075
DeepDiv,710.2438168525696,0.038404643535614014,0.0,4675,10412,0.1
DeepDAC,801.4668462276459,0.048690080642700195,0.5113330772185939,7793,10412,0.1
DeepDAC_2,894.6841533184052,0.04791218042373657,0.5286208221283135,7394,10412,0.1
CES,904.7706580162048,0.03374689817428589,0.14608144448713023,7703,10412,0.1
Gini,858.0506014823914,0.04259181022644043,0.7000576258163658,4648,10412,0.1
Random,903.653669834137,0.02955019474029541,0.08720706876680753,8635,10412,0.1
MAX_P,873.1749022006989,0.04067111015319824,0.6782558586246639,4830,10412,0.1
LSA,855.8088290691376,0.01634526252746582,0.2758355743373031,984,10412,0.1
