name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,843.8634054660797,0.030683398246765137,0.0,2603,2603,0.025
DeepDAC,847.3093333244324,0.03495699167251587,0.6673069535151748,2603,2603,0.025
DeepDAC_2,840.7457096576691,0.03211432695388794,0.6876680752977334,2603,2603,0.025
CES,841.109635591507,0.022568345069885254,0.060315021129466004,2603,2603,0.025
Gini,831.7991137504578,0.033900558948516846,0.7422205147906262,2603,2603,0.025
Random,842.165876865387,0.01720958948135376,0.024202842873607376,2603,2603,0.025
MAX_P,867.1278674602509,0.03600376844406128,0.7157126392623896,2603,2603,0.025
LSA,837.483683347702,0.02041715383529663,0.09527468305800998,2603,2603,0.025
DeepDiv,855.1901390552521,0.04238051176071167,0.0,5206,5206,0.05
DeepDAC,873.2050507068634,0.04158341884613037,0.6953515174798309,5206,5206,0.05
DeepDAC_2,875.0012359619141,0.04472380876541138,0.769688820591625,5206,5206,0.05
CES,855.6183409690857,0.03254646062850952,0.10122935074913561,5206,5206,0.05
Gini,851.6613714694977,0.042169272899627686,0.7116788321167883,5206,5206,0.05
Random,862.2226002216339,0.0224723219871521,0.052055320783711105,5206,5206,0.05
MAX_P,861.7964749336243,0.04239976406097412,0.6796004610065309,5206,5206,0.05
LSA,868.016683101654,0.028138458728790283,0.15693430656934307,5206,5206,0.05
DeepDiv,887.1659791469574,0.04768168926239014,0.0,7809,7809,0.075
DeepDAC,899.2080910205841,0.04730713367462158,0.6935587143040082,7809,7809,0.075
DeepDAC_2,895.9287729263306,0.04517519474029541,0.7833269304648482,7809,7809,0.075
CES,876.8682131767273,0.03514903783798218,0.14508899987194263,7809,7809,0.075
Gini,868.8394141197205,0.04798901081085205,0.6970162632859521,7809,7809,0.075
Random,873.1310894489288,0.028234481811523438,0.0749135612754514,7809,7809,0.075
MAX_P,875.226975440979,0.047432005405426025,0.6884364195159431,7809,7809,0.075
LSA,894.4581129550934,0.03096187114715576,0.19682417723139967,7809,7809,0.075
DeepDiv,917.886871099472,0.050466716289520264,0.0,10412,10412,0.1
DeepDAC,927.5993552207947,0.05300205945968628,0.7007299270072993,10412,10412,0.1
DeepDAC_2,930.6028354167938,0.05067801475524902,0.7519208605455244,10412,10412,0.1
CES,911.69358086586,0.03881758451461792,0.17931233192470228,10412,10412,0.1
Gini,898.9362869262695,0.05028426647186279,0.7087014982712255,10412,10412,0.1
Random,982.1774110794067,0.03368932008743286,0.10180560891279293,10412,10412,0.1
MAX_P,899.7027649879456,0.05062997341156006,0.7059162504802151,10412,10412,0.1
LSA,938.3373758792877,0.03435194492340088,0.23117556665386094,10412,10412,0.1
