name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,941.765504360199,0.025996863842010498,0.0,1801,2603,0.025
DeepDAC,869.7692935466766,0.03327631950378418,0.4660007683442182,2188,2603,0.025
DeepDAC_2,906.5389721393585,0.028570592403411865,0.3995389934690741,1477,2603,0.025
CES,918.903018951416,0.01774740219116211,0.05263157894736842,1970,2603,0.025
Gini,859.5362076759338,0.009766817092895508,0.1367652708413369,269,2603,0.025
Random,892.378500699997,0.013051211833953857,0.020361121782558587,2192,2603,0.025
MAX_P,889.0744032859802,0.013704299926757812,0.2086054552439493,358,2603,0.025
LSA,831.5521965026855,0.0016326308250427246,0.039569727237802534,1,2603,0.025
DeepDiv,867.2514116764069,0.03744429349899292,0.0,3640,5206,0.05
DeepDAC,889.5282640457153,0.039864420890808105,0.4859777180176719,4115,5206,0.05
DeepDAC_2,884.283891916275,0.035235464572906494,0.48751440645409144,3237,5206,0.05
CES,878.9943704605103,0.02606409788131714,0.07837111025739531,3914,5206,0.05
Gini,873.7466542720795,0.018851816654205322,0.2009220130618517,704,5206,0.05
Random,877.1820559501648,0.020734071731567383,0.03880138301959278,4364,5206,0.05
MAX_P,866.2198779582977,0.01850605010986328,0.29101037264694585,980,5206,0.05
LSA,851.0484480857849,0.002103149890899658,0.07933154053015751,1,5206,0.05
DeepDiv,899.4747323989868,0.043360114097595215,0.0,5505,7809,0.075
DeepDAC,898.7315907478333,0.04389786720275879,0.4782942758355743,5650,7809,0.075
DeepDAC_2,895.5161399841309,0.040959179401397705,0.4902036112178256,4467,7809,0.075
CES,899.9045193195343,0.03118276596069336,0.10398258419772058,5881,7809,0.075
Gini,867.9074809551239,0.027350962162017822,0.3145088999871943,1572,7809,0.075
Random,912.625983953476,0.0274277925491333,0.06146753745678064,6518,7809,0.075
MAX_P,870.9310052394867,0.03197026252746582,0.3670124215648611,2030,7809,0.075
LSA,947.79767537117,0.00030732154846191406,0.12831348444102958,1,7809,0.075
DeepDiv,900.5954225063324,0.04554009437561035,0.0,7393,10412,0.1
DeepDAC,891.6081178188324,0.045453667640686035,0.4703227045716481,6997,10412,0.1
DeepDAC_2,898.8751056194305,0.043619394302368164,0.49548597771801767,6007,10412,0.1
CES,930.288991689682,0.03545635938644409,0.13311563580484057,7790,10412,0.1
Gini,877.9482433795929,0.033967792987823486,0.39608144448713023,2861,10412,0.1
Random,914.7989933490753,0.03006875514984131,0.0801959277756435,8706,10412,0.1
MAX_P,862.5939655303955,0.03552359342575073,0.4015558970418748,3180,10412,0.1
LSA,858.0050978660583,0.003975868225097656,0.18574721475220898,2,10412,0.1
