name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,859.8452219963074,0.028935551643371582,0.0,2603,2603,0.025
DeepDAC,847.3053748607635,0.035158634185791016,0.6043027276219747,2603,2603,0.025
DeepDAC_2,868.0023036003113,0.03410226106643677,0.6304264310411064,2603,2603,0.025
CES,863.4038910865784,0.021473586559295654,0.04763734152900499,2603,2603,0.025
Gini,859.5127005577087,0.030116796493530273,0.6457933154053016,2603,2603,0.025
Random,883.731458902359,0.016335666179656982,0.021513638109873223,2603,2603,0.025
MAX_P,859.7922933101654,0.03013598918914795,0.6392623895505186,2603,2603,0.025
LSA,851.8035089969635,0.021867334842681885,0.08451786400307337,2603,2603,0.025
DeepDiv,886.7130641937256,0.04330247640609741,0.0,5206,5206,0.05
DeepDAC,877.3900675773621,0.04047900438308716,0.6177487514406454,5206,5206,0.05
DeepDAC_2,884.1252663135529,0.04367703199386597,0.6959277756434883,5206,5206,0.05
CES,889.108003616333,0.03186464309692383,0.09412216673069534,5206,5206,0.05
Gini,891.9948794841766,0.03833740949630737,0.6450249711870918,5206,5206,0.05
Random,870.5595810413361,0.024277806282043457,0.039569727237802534,5206,5206,0.05
MAX_P,882.2530543804169,0.04024851322174072,0.5923933922397234,5206,5206,0.05
LSA,886.9362895488739,0.025939226150512695,0.1348444102958125,5206,5206,0.05
DeepDiv,913.5121819972992,0.04835397005081177,0.0,7809,7809,0.075
DeepDAC,904.6713442802429,0.046029865741729736,0.6108336534767576,7809,7809,0.075
DeepDAC_2,892.8664464950562,0.04744160175323486,0.715200409783583,7809,7809,0.075
CES,899.0505945682526,0.03416949510574341,0.13010628761685236,7809,7809,0.075
Gini,903.7856261730194,0.04508870840072632,0.6080163913433219,7809,7809,0.075
Random,887.1616594791412,0.028714656829833984,0.05967473428095787,7809,7809,0.075
MAX_P,903.9685819149017,0.04554009437561035,0.5930336790882316,7809,7809,0.075
LSA,908.6316437721252,0.03025120496749878,0.17377385068510692,7809,7809,0.075
DeepDiv,908.3782093524933,0.05039948225021362,0.0,10412,10412,0.1
DeepDAC,905.9661917686462,0.05040907859802246,0.6151555897041875,10412,10412,0.1
DeepDAC_2,924.5143282413483,0.050466716289520264,0.6958317326162121,10412,10412,0.1
CES,921.2547450065613,0.03723299503326416,0.15693430656934307,10412,10412,0.1
Gini,919.1650304794312,0.0493239164352417,0.6148674606223589,10412,10412,0.1
Random,919.0649728775024,0.030616164207458496,0.07971571263926239,10412,10412,0.1
MAX_P,925.4944400787354,0.04863244295120239,0.6098732232039954,10412,10412,0.1
LSA,900.640344619751,0.034582436084747314,0.20159431425278526,10412,10412,0.1
