name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,656.8467044830322,0.007049977779388428,0.0,799,1000,0.025
DeepDAC,647.1723916530609,0.029799997806549072,0.348,991,1000,0.025
DeepDAC_2,625.2551918029785,-0.0013750195503234863,0.425,978,1000,0.025
CES,621.6432499885559,0.011675000190734863,0.021,830,1000,0.025
Gini,644.1433660984039,0.015249967575073242,0.503,709,1000,0.025
Random,639.4051403999329,0.012624979019165039,0.016,834,1000,0.025
MAX_P,620.0002844333649,0.008449971675872803,0.49,685,1000,0.025
LSA,621.8388516902924,0.0037499666213989258,0.037,236,1000,0.025
DeepDiv,676.9795706272125,0.018899977207183838,0.0,1616,2000,0.05
DeepDAC,640.0360324382782,0.00527501106262207,0.4475,1980,2000,0.05
DeepDAC_2,649.9432413578033,0.025849997997283936,0.437,1932,2000,0.05
CES,657.7907810211182,0.02574998140335083,0.049,1660,2000,0.05
Gini,660.8940668106079,0.005575001239776611,0.4785,1371,2000,0.05
Random,677.7982754707336,0.000899970531463623,0.041,1677,2000,0.05
MAX_P,661.1613049507141,0.01894998550415039,0.493,1349,2000,0.05
LSA,656.9895102977753,0.027000010013580322,0.059,468,2000,0.05
DeepDiv,540.4978182315826,0.028599977493286133,0.0,2425,3000,0.075
DeepDAC,509.8446292877197,0.029999971389770508,0.483,2969,3000,0.075
DeepDAC_2,520.0555486679077,0.03652501106262207,0.448,2899,3000,0.075
CES,519.0931522846222,0.004575014114379883,0.07166666666666667,2485,3000,0.075
Gini,516.7553954124451,0.017475008964538574,0.47433333333333333,2004,3000,0.075
Random,522.9006822109222,0.009124994277954102,0.062,2498,3000,0.075
MAX_P,518.3240752220154,0.010800004005432129,0.5036666666666667,2031,3000,0.075
LSA,509.35726404190063,0.010149955749511719,0.08233333333333333,707,3000,0.075
DeepDiv,519.7662749290466,0.03025001287460327,0.0,3253,4000,0.1
DeepDAC,526.4507188796997,0.03254997730255127,0.4995,3960,4000,0.1
DeepDAC_2,530.4121780395508,0.024275004863739014,0.463,3869,4000,0.1
CES,521.7849824428558,0.03887498378753662,0.09175,3302,4000,0.1
Gini,527.0460329055786,0.024424970149993896,0.48725,2709,4000,0.1
Random,523.4484057426453,0.022525012493133545,0.083,3315,4000,0.1
MAX_P,524.1156005859375,0.018324971199035645,0.52,2705,4000,0.1
LSA,518.6949837207794,-0.011575043201446533,0.104,1003,4000,0.1
