name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,598.5327956676483,0.022324979305267334,0.0,1000,1000,0.025
DeepDAC,595.8589165210724,0.006424963474273682,0.368,1000,1000,0.025
DeepDAC_2,598.7077581882477,0.007025003433227539,0.449,1000,1000,0.025
CES,590.7175419330597,0.010500013828277588,0.022,1000,1000,0.025
Gini,648.1736676692963,0.004474997520446777,0.517,1000,1000,0.025
Random,640.6342058181763,0.005349993705749512,0.017,1000,1000,0.025
MAX_P,641.9666402339935,0.008099973201751709,0.504,1000,1000,0.025
LSA,639.9974875450134,0.02129995822906494,0.046,1000,1000,0.025
DeepDiv,631.5959157943726,0.03702497482299805,0.0,2000,2000,0.05
DeepDAC,604.6043636798859,0.026974976062774658,0.473,2000,2000,0.05
DeepDAC_2,618.1375451087952,0.012475013732910156,0.4675,2000,2000,0.05
CES,613.3989310264587,0.015374958515167236,0.0365,2000,2000,0.05
Gini,603.2713220119476,0.02799999713897705,0.4965,2000,2000,0.05
Random,613.6530146598816,0.017874956130981445,0.0395,2000,2000,0.05
MAX_P,617.2923309803009,0.027000010013580322,0.512,2000,2000,0.05
LSA,596.8158535957336,0.022074997425079346,0.0715,2000,2000,0.05
DeepDiv,624.1747462749481,0.01940000057220459,0.0,3000,3000,0.075
DeepDAC,625.6801111698151,0.013724982738494873,0.5033333333333333,3000,3000,0.075
DeepDAC_2,626.5883076190948,0.029325008392333984,0.4856666666666667,3000,3000,0.075
CES,655.2677245140076,0.02372497320175171,0.05633333333333333,3000,3000,0.075
Gini,658.1987707614899,0.036875009536743164,0.49733333333333335,3000,3000,0.075
Random,644.971538066864,0.01942497491836548,0.063,3000,3000,0.075
MAX_P,661.3239002227783,0.02445000410079956,0.5233333333333333,3000,3000,0.075
LSA,641.9643850326538,0.035374999046325684,0.10933333333333334,3000,3000,0.075
DeepDiv,671.5302975177765,0.0466499924659729,0.0,4000,4000,0.1
DeepDAC,643.866598367691,0.03232496976852417,0.5235,4000,4000,0.1
DeepDAC_2,681.1129610538483,0.04517495632171631,0.50325,4000,4000,0.1
CES,651.1612114906311,0.0270499587059021,0.07775,4000,4000,0.1
Gini,690.1321568489075,0.0333249568939209,0.517,4000,4000,0.1
Random,667.483030796051,0.03357499837875366,0.085,4000,4000,0.1
MAX_P,653.1763052940369,0.0303499698638916,0.53325,4000,4000,0.1
LSA,654.0605418682098,0.025174975395202637,0.1405,4000,4000,0.1
