name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,617.5338163375854,0.024075031280517578,0.0,799,1000,0.025
DeepDAC,600.7554290294647,0.025174975395202637,0.531,968,1000,0.025
DeepDAC_2,612.733936548233,0.026024997234344482,0.553,963,1000,0.025
CES,611.9048805236816,0.018700003623962402,0.035,798,1000,0.025
Gini,595.554967880249,0.02317500114440918,0.732,749,1000,0.025
Random,616.3344328403473,0.01662498712539673,0.014,819,1000,0.025
MAX_P,598.9407587051392,0.022149980068206787,0.608,741,1000,0.025
LSA,614.9015510082245,0.019975006580352783,0.066,665,1000,0.025
DeepDiv,608.4460911750793,0.032124996185302734,0.0,1574,2000,0.05
DeepDAC,617.6447381973267,0.034825026988983154,0.569,1938,2000,0.05
DeepDAC_2,475.67190432548523,0.0343250036239624,0.6135,1925,2000,0.05
CES,444.21916580200195,0.02544999122619629,0.073,1588,2000,0.05
Gini,450.43302273750305,0.028275012969970703,0.762,1472,2000,0.05
Random,467.4284768104553,0.021574974060058594,0.0375,1642,2000,0.05
MAX_P,454.232275724411,0.029825031757354736,0.6025,1427,2000,0.05
LSA,459.15406608581543,0.01992499828338623,0.101,1039,2000,0.05
DeepDiv,464.3105323314667,0.036424994468688965,0.0,2372,3000,0.075
DeepDAC,452.9213333129883,0.039974987506866455,0.5936666666666667,2909,3000,0.075
DeepDAC_2,477.46216344833374,0.040724992752075195,0.633,2896,3000,0.075
CES,455.7593107223511,0.02820003032684326,0.106,2382,3000,0.075
Gini,466.41050601005554,0.03457498550415039,0.652,2148,3000,0.075
Random,453.41493701934814,-0.007224977016448975,0.060333333333333336,2481,3000,0.075
MAX_P,469.85579681396484,0.03647500276565552,0.5926666666666667,2144,3000,0.075
LSA,451.5057854652405,0.021775007247924805,0.13633333333333333,1372,3000,0.075
DeepDiv,493.12188172340393,0.04255002737045288,0.0,3136,4000,0.1
DeepDAC,451.24031686782837,0.02544999122619629,0.60275,3892,4000,0.1
DeepDAC_2,474.4195182323456,0.04430001974105835,0.6415,3866,4000,0.1
CES,494.1089355945587,0.030224978923797607,0.13575,3196,4000,0.1
Gini,474.15593671798706,0.04062497615814209,0.62325,2853,4000,0.1
Random,475.7446520328522,0.029325008392333984,0.07825,3311,4000,0.1
MAX_P,458.53127121925354,0.03827500343322754,0.59325,2844,4000,0.1
LSA,460.84233140945435,0.023374974727630615,0.16675,1693,4000,0.1
