name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,623.6167984008789,0.02092498540878296,0.0,654,1000,0.025
DeepDAC,632.5263340473175,0.022825002670288086,0.569,674,1000,0.025
DeepDAC_2,618.0814695358276,0.021000027656555176,0.604,574,1000,0.025
CES,623.973822593689,0.016650021076202393,0.034,806,1000,0.025
Gini,611.003687620163,0.020574986934661865,0.715,602,1000,0.025
Random,632.0072755813599,0.020325005054473877,0.025,844,1000,0.025
MAX_P,605.4448113441467,0.02090001106262207,0.649,620,1000,0.025
LSA,628.4321892261505,0.016250014305114746,0.114,522,1000,0.025
DeepDiv,612.404778957367,0.02995002269744873,0.0,1362,2000,0.05
DeepDAC,630.5565769672394,0.031199991703033447,0.625,1373,2000,0.05
DeepDAC_2,624.1824672222137,0.028074979782104492,0.6565,1175,2000,0.05
CES,612.617830991745,0.022050023078918457,0.069,1604,2000,0.05
Gini,633.1998481750488,0.028100013732910156,0.7515,1213,2000,0.05
Random,628.4915950298309,0.025150001049041748,0.0455,1675,2000,0.05
MAX_P,635.9757289886475,0.028275012969970703,0.631,1314,2000,0.05
LSA,619.5606324672699,0.019599974155426025,0.1485,943,2000,0.05
DeepDiv,647.4340808391571,0.03554999828338623,0.0,2082,3000,0.075
DeepDAC,625.5758037567139,0.03504997491836548,0.6483333333333333,2060,3000,0.075
DeepDAC_2,642.737847328186,0.032875001430511475,0.701,1820,3000,0.075
CES,628.1064281463623,0.026000022888183594,0.10333333333333333,2414,3000,0.075
Gini,645.4074151515961,0.03502500057220459,0.6783333333333333,1944,3000,0.075
Random,625.3939790725708,0.028275012969970703,0.060333333333333336,2507,3000,0.075
MAX_P,640.4199130535126,0.03324997425079346,0.6226666666666667,2000,3000,0.075
LSA,624.9666569232941,0.02265000343322754,0.19233333333333333,1326,3000,0.075
DeepDiv,632.0142815113068,0.03887498378753662,0.0,2767,4000,0.1
DeepDAC,648.8870179653168,0.04110002517700195,0.65875,2752,4000,0.1
DeepDAC_2,630.7608535289764,0.037174999713897705,0.7285,2477,4000,0.1
CES,657.6452431678772,0.03049999475479126,0.1225,3204,4000,0.1
Gini,630.4146447181702,0.03909999132156372,0.65,2648,4000,0.1
Random,651.306387424469,0.03070002794265747,0.08075,3343,4000,0.1
MAX_P,621.7980709075928,0.03850001096725464,0.6175,2671,4000,0.1
LSA,635.2903702259064,0.024425029754638672,0.2195,1725,4000,0.1
