name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,615.283429145813,0.025025010108947754,0.0,1000,1000,0.025
DeepDAC,635.4224860668182,0.02377498149871826,0.61,1000,1000,0.025
DeepDAC_2,613.8546392917633,0.027899980545043945,0.653,1000,1000,0.025
CES,636.098170042038,0.01765000820159912,0.042,1000,1000,0.025
Gini,617.370982170105,0.0252000093460083,0.803,1000,1000,0.025
Random,633.2983827590942,0.01787501573562622,0.02,1000,1000,0.025
MAX_P,611.2444417476654,0.0254250168800354,0.64,1000,1000,0.025
LSA,638.8069953918457,0.019574999809265137,0.098,1000,1000,0.025
DeepDiv,628.1474878787994,0.03404998779296875,0.0,2000,2000,0.05
DeepDAC,643.2667410373688,0.03229999542236328,0.652,2000,2000,0.05
DeepDAC_2,640.8555238246918,0.03425002098083496,0.732,2000,2000,0.05
CES,627.4583132266998,0.026324987411499023,0.084,2000,2000,0.05
Gini,638.6917996406555,0.03479999303817749,0.7055,2000,2000,0.05
Random,620.4622464179993,0.023050010204315186,0.047,2000,2000,0.05
MAX_P,641.8081820011139,0.03584998846054077,0.636,2000,2000,0.05
LSA,624.7119753360748,0.026075005531311035,0.15,2000,2000,0.05
DeepDiv,646.4676699638367,0.0410500168800354,0.0,3000,3000,0.075
DeepDAC,627.0683741569519,0.03757500648498535,0.6623333333333333,3000,3000,0.075
DeepDAC_2,648.398405790329,0.03970003128051758,0.762,3000,3000,0.075
CES,636.2826714515686,0.030525028705596924,0.12266666666666666,3000,3000,0.075
Gini,632.9792146682739,0.03952503204345703,0.6543333333333333,3000,3000,0.075
Random,652.0993633270264,0.028025031089782715,0.06433333333333334,3000,3000,0.075
MAX_P,632.2240703105927,0.04100000858306885,0.628,3000,3000,0.075
LSA,652.4786093235016,0.028649985790252686,0.196,3000,3000,0.075
DeepDiv,651.5600671768188,0.042474985122680664,0.0,4000,4000,0.1
DeepDAC,657.4672300815582,0.044475018978118896,0.666,4000,4000,0.1
DeepDAC_2,642.2599816322327,0.04659998416900635,0.769,4000,4000,0.1
CES,645.1234474182129,0.03667497634887695,0.159,4000,4000,0.1
Gini,659.5025618076324,0.04580003023147583,0.64775,4000,4000,0.1
Random,640.7560787200928,0.031650006771087646,0.09275,4000,4000,0.1
MAX_P,657.5940299034119,0.04400002956390381,0.63725,4000,4000,0.1
LSA,642.6455841064453,0.032575011253356934,0.23275,4000,4000,0.1
